Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial,
, ^zz++++=EXTRAWORD
forming ^vbg+++xvbg+=forming
dense ^jj+atrb+++=dense
thickets ^nns+++??+=thickets.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
long ^jj++++=long-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
filiform ^nn+++??+=filiform
hairs ^nns++++=hairs.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
1.5 ^cd++++=1.5
4.5 ^cd++++=4.5
m ^zz++++=m
long ^rb++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
0.75 ^nn+++??+=0.75
2.5 ^cd++++=2.5
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
brown ^jj++++=brown
proximally ^rb++++=proximally
and ^cc++++=and
stramineous ^jj++++=stramineous
distally ^rb+cnj+++=distally,
, ^zz++++=EXTRAWORD
glabrous ^jj++++=glabrous
throughout ^in+strn+++=throughout.
. ^zz++++=EXTRAWORD
Laminae ^np+++??+=Laminae
0.75 ^nn+++??+=0.75
2.5 ^cd++++=2.5
m ^zz++++=m
long ^rb+cnj+++=long,
, ^zz++++=EXTRAWORD
proximally ^rb++++=proximally
3 ^zz++++=3
4 ^zz++++=4-pinnate-pinnatifid;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
- ^zz++++=EXTRAWORD
pinnatifid ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
stramineous ^jj++++=stramineous
and ^cc+phrs+++=and
glabrous ^jj++++=glabrous.
. ^zz++++=EXTRAWORD
Basal ^jj+atrb+++=Basal
pinnae ^nn+++??+=pinnae
60 ^cd++++=60
100 ^cd++++=100
25 ^cd++++=25
70 ^cd++++=70
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
equilateral ^jj++++=equilateral;
; ^zz++++=EXTRAWORD
pinnae ^nn+++??+=pinnae
and ^cc++++=and
pinnules ^nns+++??+=pinnules
distally ^rb++++=distally
with ^in++++=with
free ^jj+atrb+++=free
lobes ^nns++++=lobes
between ^in++++=between
segments ^nns+nom+++=segments.
. ^zz++++=EXTRAWORD
Compound ^nn++++=Compound
distal ^jj+atrb+++=distal
segments ^nns+nom+++=segments
inequilateral ^nn+nom+++=inequilateral,
, ^zz++++=EXTRAWORD
irregularly ^jj++++=irregularly
dissected ^jj+++xvbn+=dissected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
caudate ^nn+nom+++=caudate
at ^rb++++=at
the ^ati++++=the
apex ^nn++++=apex;
; ^zz++++=EXTRAWORD
simple ^jj+atrb+++=simple
distal ^jj+atrb+++=distal
segments ^nns+nom+++=segments
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
3 ^zz++++=3(
( ^zz++++=EXTRAWORD
4 ^zz++++=4)
) ^zz++++=EXTRAWORD
cm ^nnu++++=cm
long ^jj++++=long.
. ^zz++++=EXTRAWORD
Costae ^np+++??+=Costae
abaxially ^rb++++=abaxially
with ^in++++=with
reddish ^jj++++=reddish,
, ^zz++++=EXTRAWORD
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs
and ^cc++++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous;
; ^zz++++=EXTRAWORD
costules ^nns+++??+=costules
abaxially ^rb++++=abaxially
with ^in++++=with
reddish ^jj++++=reddish,
, ^zz++++=EXTRAWORD
catenate ^nn+nom+++=catenate
hairs ^nns++++=hairs
and ^cc++++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous.
. ^zz++++=EXTRAWORD
Veins ^nns++++=Veins
abaxially ^rb++++=abaxially
lanose ^jj+++??+=lanose,
, ^zz++++=EXTRAWORD
with ^in++++=with
loose ^jj++++=loose,
, ^zz++++=EXTRAWORD
arachnoid ^nn+++??+=arachnoid
hairs ^nns++++=hairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
adaxially ^rb++++=adaxially
glabrous ^jj++++=glabrous.
. ^zz++++=EXTRAWORD
Laminar ^np+++??+=Laminar
tissue ^nn++++=tissue
between ^in++++=between
veins ^nns++++=veins
glabrous ^jj++++=glabrous
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces.
. ^zz++++=EXTRAWORD
Sori ^np+++??+=Sori
marginal ^jj++++=marginal,
, ^zz++++=EXTRAWORD
linear ^jj++++=linear,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
along ^in++++=along
segment ^nn+nom+++=segment
margins ^nns++++=margins
and ^cc++++=and
borne ^vbd+++xvbn+=borne
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn++++=indusia
vestigial ^jj++++=vestigial;
; ^zz++++=EXTRAWORD
outer ^jjb+atrb+++=outer
indusia ^nn++++=indusia
linear ^jj++++=linear.
. ^zz++++=EXTRAWORD
