While ^cs+sub+++=While
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
acknowledge ^vbi+vpub+++=acknowledge
Dict ^np+++??+=DICT
as ^in++++=as
an ^at++++=an
integral ^jj+atrb+++=integral
component ^nn++++=component
of ^in++++=of
contemporary ^jj+atrb+++=contemporary
human ^jj+atrb+++=human
culture ^nn++++=culture,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
a ^at++++=a
separate ^nn+nom+++=separate
matter ^nn++++=matter
to ^in++++=to
present ^jj++++=present
them ^pp3o+pp3+++=them
as ^ql++++=as
singular ^nn++++=singular
solutions ^nns+nom+++=solutions
to ^in++++=to
social ^jj+atrb+++=social
problems ^nns++++=problems
that ^tht+rel+subj++=that
originate ^nn+nom+++=originate
from ^in++++=from
specific ^jj+atrb+++=specific
socio ^nn+++??+=socio-historical
- ^zz++++=EXTRAWORD
historical ^jj+atrb+++=EXTRAWORD
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
an ^at++++=an
approach ^nn++++=approach
risks ^nns++++=risks
implying ^vb+++xvbg+=implying
that ^tht+vcmp+++=that
technological ^jj+atrb+++=technological
artefacts ^nns+++??+=artefacts
are ^vb+ber+vrb++=are
capable ^jj+pred+++=capable
of ^in++++=of
resolving ^jj++++=resolving
these ^dt+dem+++=these
issues ^nns++++=issues
independently ^rb++++=independently
and ^cc++++=and,
, ^zz++++=EXTRAWORD
furthermore ^rb+cnj+++=furthermore,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
interactions ^nns+nom+++=interactions
with ^in++++=with
these ^dt+dem+++=these
technologies ^nns++++=technologies
invariably ^rb++++=invariably
yield ^vb++++=yield
positive ^jj+atrb+++=positive
outcomes ^nns++++=outcomes.
. ^zz++++=EXTRAWORD
