Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
40 ^cd++++=40
75 ^cd++++=75
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
25 ^cd++++=25
40 ^cd++++=40
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
entirely ^rb+amp+++=entirely
reddish ^jj++++=reddish-brown,
- ^zz++++=EXTRAWORD
brown ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quadrangular ^nn+++??+=quadrangular,
, ^zz++++=EXTRAWORD
with ^in++++=with
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=acuminate
scales ^nns++++=scales
and ^cc++++=and
sparse ^nn+++??+=sparse
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
proximally ^rb++++=proximally;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
20 ^cd++++=20
40 ^cd++++=40
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
2 ^zz++++=2-pinnate;
- ^zz++++=EXTRAWORD
pinnate ^nn+nom+++=EXTRAWORD
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
winged ^jj++++=winged,
, ^zz++++=EXTRAWORD
reddish ^jj++++=reddish-brown,
- ^zz++++=EXTRAWORD
brown ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
sparse ^nn+++??+=sparse
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
10 ^cd++++=10
18 ^cd++++=18
2 ^zz++++=2
3 ^zz++++=3
cm ^nnu++++=cm;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
short ^jj++++=short-petiolulate,
- ^zz++++=EXTRAWORD
petiolulate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dimidiate ^nn+nom+++=dimidiate,
, ^zz++++=EXTRAWORD
1.2 ^cd++++=1.2
1.5 ^cd++++=1.5
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
with ^in++++=with
sparse ^nn+++??+=sparse
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
on ^in++++=on
both ^abx++++=both
abaxial ^jj+atrb+++=abaxial
and ^cc+phrs+++=and
adaxial ^jj+atrb+++=adaxial
surfaces ^nns++++=surfaces;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
glabrous ^jj++++=glabrous
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
veins ^nns++++=veins
with ^in++++=with
sparse ^nn+++??+=sparse
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
abaxially ^rb++++=abaxially
and ^cc++++=and
glabrous ^jj++++=glabrous
adaxially ^rb++++=adaxially;
; ^zz++++=EXTRAWORD
sori ^jj+++??+=sori
interrupted ^jj+++xvbn+=interrupted,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
indusia ^nn++++=indusia
membranaceous ^jj++++=membranaceous,
, ^zz++++=EXTRAWORD
with ^in++++=with
dentate ^nn+nom+++=dentate,
, ^zz++++=EXTRAWORD
glabrous ^jj+atrb+++=glabrous
margins ^nns++++=margins.
. ^zz++++=EXTRAWORD
