Researchers ^nns+nom++??+=Researchers
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
contrasting ^jj+atrb++xvbg+=contrasting
characteristics ^nns++++=characteristics
of ^in++++=of
deductive ^jj+atrb+++=deductive
and ^cc+phrs+++=and
inductive ^jj+atrb+++=inductive
approaches ^nns++++=approaches
to ^in++++=to
data ^nns++++=data
analysis ^nn++++=analysis
( ^zz++++=(Evans,
evans ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013;
; ^zz++++=EXTRAWORD
Taber ^np+++??+=Taber,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Deductive ^jj+atrb+++=Deductive
analysis ^nn++++=analysis
involves ^vbz++++=involves
seeking ^jj+atrb++xvbg+=seeking
evidence ^nn+nom+++=evidence
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
pre ^nn+++??+=pre-established
- ^zz++++=EXTRAWORD
established ^vbn+vprv++xvbn+=EXTRAWORD
themes ^nns++++=themes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
influence ^nn+nom+++=influence
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
inductive ^jj+atrb+++=inductive
analysis ^nn++++=analysis
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
an ^at++++=an
open ^jj++++=open-ended
- ^zz++++=EXTRAWORD
ended ^vbd+++xvbn+=EXTRAWORD
inquiry ^nn++++=inquiry
in ^in++++=in
which ^whp+rel+pied++=which
themes ^nns++++=themes
are ^vb+ber+aux++=are
generated ^vpsv++agls+xvbnx+=generated
directly ^rb++++=directly
from ^in++++=from
the ^ati++++=the
data ^nns++++=data
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
used ^vbd+++xvbn+=used
as ^ql++++=as
analytical ^jj+atrb+++=analytical
tools ^nns++++=tools
( ^zz++++=(Evans,
evans ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
may ^md+pos+++=may
be ^vb+be+aux++=be
informed ^vpsv++agls+xvbnx+=informed
either ^dtx++++=either
by ^in++++=by
an ^at++++=an
existing ^jj+atrb++xvbg+=existing
conceptual ^jj+atrb+++=conceptual
framework ^nn++++=framework
or ^cc++++=or
by ^in++++=by
patterns ^nns++++=patterns
emerging ^vwbg+++xvbg+=emerging
from ^in++++=from
the ^ati++++=the
data ^nns++++=data
itself ^ppl++++=itself
( ^zz++++=(Taber,
taber ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
both ^abx++++=both
approaches ^nns++++=approaches
typically ^rb++++=typically
involve ^vb++++=involve
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
the ^ati++++=the
organization ^nn+nom+++=organization
of ^in++++=of
these ^dt+dem+++=these
categories ^nns++++=categories
under ^in++++=under
broader ^jjr+atrb+++=broader
headings ^nns++++=headings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
a ^at++++=a
general ^jj+atrb+++=general
description ^nn+nom+++=description
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
topic ^nn++++=topic
( ^zz++++=(Elo
elo ^nn++++=EXTRAWORD
& ^zz++++=&
kyng ^np++++=Kyng
s ^zz++++=s,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
