Teachers ^nns+nom+++=Teachers
were ^vbd+bed+aux++=were
assigned ^vpsv++agls+xvbnx+=assigned
to ^in++++=to
groups ^nns++++=groups
according ^in++++=according
to ^to++++=to
two ^cd++++=two
criteria ^nns++++=criteria
area ^nn++++=area
of ^in++++=of
training ^nn++++=training/occupation
at ^rb++++=at
If ^cs+cnd+++=IF
and ^cc++++=and
career ^nn++++=career
level ^nn++++=level
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
optimize ^vb++++=optimize
sample ^nn++++=sample
characteristics ^nns++++=characteristics
and ^cc++++=and
facilitate ^nn+nom+++=facilitate
comparative ^jj+atrb+++=comparative
analysis ^nn++++=analysis
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
sample ^nn++++=sample
comprised ^vbd+++xvbn+=comprised
41 ^cd++++=41
vocational ^jj+atrb+++=vocational
and ^cc+phrs+++=and
technological ^jj+atrb+++=technological
education ^nn+nom+++=education
teachers ^nns+nom+++=teachers
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
invited ^vpsv++agls+xvbnx+=invited
to ^to++++=to
participate ^nn+nom+++=participate
in ^in++++=in
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
If ^cs+cnd+++=IF
course ^nn++++=course
coordinators ^nns++++=coordinators.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
participants ^nns+nom+++=participants
were ^vbd+bed+vrb++=were
male ^jj+pred+++=male
( ^zz++++=(n
n ^zz++++=EXTRAWORD
= ^zz++++==
25 ^cd++++=25).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
details ^nns++++=details
regarding ^in++++=regarding
the ^ati++++=the
sample ^nn++++=sample
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
figure ^nn++++=Figure
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
