All ^abn++++=All
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
core ^nn++++=core
group ^nn++++=group
possessed ^vbd+++xvbn+=possessed
modest ^jj+atrb+++=modest
material ^nn++++=material
resources ^nns++++=resources
at ^in++++=at
the ^ati++++=the
time ^nn++++=time
they ^pp3a+pp3+++=they
decided ^vbd+vprv++xvbnx+=decided
to ^to+vcmp+++=to
migrate ^nn+nom+++=migrate
north ^nr+pl+++=north.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
resources ^nns++++=resources
were ^vbd+bed+vrb++=were
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
cover ^vbi++++=cover
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
a ^at++++=a
long ^jj++++=long-haul
- ^zz++++=EXTRAWORD
haul ^vb++++=EXTRAWORD
flight ^nn++++=flight
from ^in++++=from
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
to ^in++++=to
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
their ^pp$+pp3+++=their
living ^nvbg+++xvbg+=living
expenses ^nns++++=expenses
while ^cs+sub+++=while
seeking ^vbg+++xvbg+=seeking
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
Mfb ^np+++??+=MFB
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
in ^in++++=in
an ^at++++=an
Indonesian ^np+++??+=Indonesian
bank ^nn++++=bank
during ^in++++=during
the ^ati++++=the
Indonesian ^np+++??+=Indonesian
occupation ^nn+nom+++=occupation
( ^zz++++=(1975
1975 ^cd+date+++=EXTRAWORD
1999 ^cd+date+++=1999)
) ^zz++++=EXTRAWORD
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
with ^in++++=with
a ^at++++=a
non ^&fw++++=non-governmental
- ^zz++++=EXTRAWORD
governmental ^jj+atrb+++=EXTRAWORD
organization ^nn+nom+++=organization
following ^vwbg+++xvbg+=following
Independence ^nn+nom+++=Independence
in ^in++++=in
2002 ^cd++++=2002
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
Mfb ^np+++??+=MFB,
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cx ^np+++??+=CX
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
a ^at++++=a
male ^nn++++=male
nurse ^vb++++=nurse
with ^in++++=with
M ^zz++++=M
decins ^nns+++??+=decins
Sans ^&fw++++=Sans
Fronti ^np+++??+=Fronti
res ^nns+++??+=res
( ^zz++++=(MSF)
msf ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
three ^cd++++=three-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
United ^jj+atrb+++=United
Nations ^nns+nom+++=Nations
administration ^nn+nom+++=administration
( ^zz++++=(1999
1999 ^cd+date+++=EXTRAWORD
2002 ^cd++++=2002)
) ^zz++++=EXTRAWORD
and ^cc++++=and
later ^rbr+tm+++=later
worked ^vbd+++xvbn+=worked
for ^in++++=for
the ^ati++++=the
national ^jj+atrb+++=national
health ^nn++++=health
service ^nn++++=service
in ^in++++=in
Timor ^np+++??+=Timor-Leste
- ^zz++++=EXTRAWORD
leste ^nn+++??+=EXTRAWORD
after ^in++++=after
Independence ^nn+nom+++=Independence
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
Cx ^np+++??+=CX,
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Da ^np+++??+=DA
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
as ^ql++++=as
a ^at++++=a
driver ^nn++++=driver
for ^in++++=for
a ^at++++=a
government ^nn+nom+++=government
department ^nn+nom+++=department
after ^in++++=after
Independence ^nn+nom+++=Independence
( ^zz++++=(Interview
interview ^nn++++=EXTRAWORD
with ^in++++=with
Da ^np+++??+=DA,
, ^zz++++=EXTRAWORD
June ^nr++++=June
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ax ^np+++??+=AX
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
a ^at++++=a
porter ^nn++++=porter
in ^in++++=in
a ^at++++=a
warehouse ^nn++++=warehouse
in ^in++++=in
Dili ^np+++??+=Dili,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
sacks ^nns++++=sacks
of ^in++++=of
rice ^nn++++=rice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
also ^rb++splt++=also
worked ^vbd+++xvbn+=worked
as ^ql++++=as
a ^at++++=a
construction ^nn+nom+++=construction
laborer ^jjr++++=laborer.
. ^zz++++=EXTRAWORD
