There ^ex+pex+++=There
are ^vb+ber+vrb++=are
also ^rb++++=also
potential ^jj+atrb+++=potential
drawbacks ^nns++++=drawbacks
associated ^vbd+++xvbn+=associated
with ^in++++=with
altering ^xvbg+++xvbg+=altering
the ^ati++++=the
situation ^nn+nom+++=situation.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
strategies ^nns+++??+=strategies
such ^abl++++=such
as ^ql++++=as
indirect ^jj+atrb+++=indirect
modification ^nn+nom+++=modification
may ^md+pos+++=may
offer ^vb++++=offer
immediate ^jj+atrb+++=immediate
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
can ^md+pos+++=can
also ^rb++splt++=also
reinforce ^vb++++=reinforce
and ^cc+phrs+++=and
sustain ^vb++++=sustain
avoidance ^nn+nom+++=avoidance
behaviors ^nns++++=behaviors
over ^in++++=over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
negatively ^rb++splt++=negatively
affect ^vb++++=affect
teachers ^nns+nom+++=teachers
skill ^nn++++=skill
sets ^nns++++=sets
and ^cc++++=and
professional ^jj+atrb+++=professional
growth ^nn++++=growth
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
strategies ^nns+++??+=strategies
involving ^vwbg+++xvbg+=involving
the ^ati++++=the
exaggeration ^nn+nom+++=exaggeration
or ^cc++++=or
simulation ^nn+nom+++=simulation
of ^in++++=of
emotions ^nns+nom+++=emotions
may ^md+pos+++=may
demand ^vb++++=demand
additional ^jj+atrb+++=additional
effort ^nn++++=effort
and ^cc++++=and
could ^md+pos+++=could
adversely ^rb++++=adversely
impact ^nn++++=impact
both ^abx++++=both
teaching ^jj+atrb++xvbg+=teaching
performance ^nn+nom+++=performance
and ^cc++++=and
teachers ^nns+nom+++=teachers
mental ^jj+atrb+++=mental
health ^nn++++=health
( ^zz++++=(Gross,
gross ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
taxer ^np++++=Taxer
& ^zz++++=&
frenzel ^np++++=Frenzel,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
