Nestedness ^nns+nom++??+=Nestedness
patterns ^nns++++=patterns
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks
exhibit ^vb++++=exhibit
asymmetries ^nns++++=asymmetries,
, ^zz++++=EXTRAWORD
whereby ^cs+sub+++=whereby
species ^nn++++=species
with ^in++++=with
numerous ^jj+atrb+++=numerous
interactions ^nns+nom+++=interactions
constitute ^vb++++=constitute
a ^at++++=a
core ^nn++++=core,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
species ^nns++++=species
with ^in++++=with
fewer ^ap++++=fewer
interactions ^nns+nom+++=interactions
typically ^rb++++=typically
do ^vb+do+vrb++=do
not ^xnot++not++=not
interact ^nn+++??+=interact
with ^in++++=with
each ^dt++++=each
other ^ap++++=other
( ^zz++++=(Bascompte
bascompte ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
modularity ^nn+nom+++=modularity
patterns ^nns++++=patterns
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
most ^ql+emph+++=most
interactions ^nns+nom+++=interactions
are ^vb+ber+aux++=are
organized ^vpsv++agls+xvbnx+=organized
into ^in++++=into
modules ^nns+++??+=modules,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
semi ^nn+++??+=semi-isolated
- ^zz++++=EXTRAWORD
isolated ^jj+++xvbn+=EXTRAWORD
and ^cc++++=and
densely ^rb++++=densely
connected ^xvbn+++xvbn+=connected
groups ^nns++++=groups
of ^in++++=of
interacting ^jj+atrb+++=interacting
species ^nn++++=species
( ^zz++++=(Olesen
olesen ^vb+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Pimm ^np+++??+=Pimm
& ^zz++++=&
Lawton ^np+++??+=Lawton
1990 ^cd+date+++=1990).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
nonrandom ^nn+nom+++=nonrandom
network ^nn++++=network
patterns ^nns++++=patterns
reflect ^vb+vprv+++=reflect
both ^abx++++=both
the ^ati++++=the
variation ^nn+nom+++=variation
in ^in++++=in
average ^jj+atrb+++=average
levels ^nns++++=levels
of ^in++++=of
specialization ^nn+nom+++=specialization
and ^cc++++=and
generalism ^nn+nom+++=generalism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
nonrandom ^nn+nom+++=nonrandom
distribution ^nn+nom+++=distribution
of ^in++++=of
niche ^nn++++=niche
overlap ^nn++++=overlap
across ^in+pl+++=across
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
interactions ^nns+nom+++=interactions
( ^zz++++=(Guimar
guimar ^nn+++??+=EXTRAWORD
es ^&fw++++=es
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks
may ^md+pos+++=may
partially ^rb+down+splt++=partially
represent ^vb++++=represent
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
processes ^nns+nom+++=processes
that ^tht+rel+obj++=that
shape ^nn++++=shape
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions
and ^cc++++=and
influence ^nn+nom+++=influence
the ^ati++++=the
organization ^nn+nom+++=organization
of ^in++++=of
ecological ^jj+atrb+++=ecological
communities ^nns+nom+++=communities
( ^zz++++=(Jordano
jordano ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003;
; ^zz++++=EXTRAWORD
Bastolla ^np+++??+=Bastolla
Et ^&fw++++=et
Al ^&fw++++=al.
 ^zz++++=EXTRAWORD
009 ^cd++++=2009;
 ^zz++++=EXTRAWORD
Guimar ^np++++=Guimar
Es ^&fw++++=es
020 ^cd++++=2020).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
