Nicknames ^np+++??+=Nicknames:
: ^zz++++=EXTRAWORD
In ^in++++=In
certain ^jj+atrb+++=certain
capoeira ^nn+++??+=capoeira
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
universally ^rb+cnj+++=universally,
, ^zz++++=EXTRAWORD
students ^nns++++=students
are ^vb+ber+aux++=are
assigned ^vpsv++agls+xvbnx+=assigned
nicknames ^nns+++??+=nicknames,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese.
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
mestres ^nns+++??+=mestres
are ^vb+ber+aux++=are
also ^rb++splt++=also
known ^vpsv++by+xvbnx+=known
by ^in++++=by
such ^abl++++=such
nicknames ^nns+++??+=nicknames.
. ^zz++++=EXTRAWORD
The ^ati++++=The
practice ^nn++++=practice
of ^in++++=of
using ^xvbg+++xvbg+=using
nicknames ^nns+++??+=nicknames
originated ^vbd+++xvbn+=originated
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
when ^wrb+who+++=when
capoeira ^nn+++??+=capoeira
was ^vbd+bedz+vrb++=was
illegal ^jj+pred+++=illegal,
, ^zz++++=EXTRAWORD
as ^ql++++=as
concealing ^jj+++xvbg+=concealing
the ^ati++++=the
true ^jj+atrb+++=true
identity ^nn+nom+++=identity
of ^in++++=of
practitioners ^nns+nom+++=practitioners
helped ^vbd+++xvbn+=helped
protect ^vb++++=protect
them ^pp3o+pp3+++=them
from ^in++++=from
potential ^jj+atrb+++=potential
arrest ^nn++++=arrest.
. ^zz++++=EXTRAWORD
