Jeffrey ^np++++=Jeffrey
Beall ^np+++??+=Beall,
, ^zz++++=EXTRAWORD
a ^at++++=a
librarian ^nn++++=librarian
at ^in++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
Colorado ^np++++=Colorado
Denver ^np+++??+=Denver,
, ^zz++++=EXTRAWORD
introduced ^xvbn+++xvbn+=introduced
the ^ati++++=the
classification ^nn+nom+++=classification
of ^in++++=of
" ^zz++++="potential,
potential ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
possible ^jj++++=possible,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
probable ^jj+atrb+++=probable
predatory ^jj+atrb+++=predatory
scholarly ^jj+atrb+++=scholarly
Oa ^np+++??+=OA
publishers ^nns+nom+++=publishers"
" ^zz++++=EXTRAWORD
and ^cc++++=and
began ^vbd+++xvbn+=began
maintaining ^vbg+++xvbg+=maintaining
a ^at++++=a
corresponding ^jj+atrb++xvbg+=corresponding
list ^nn++++=list
in ^in++++=in
2008 ^cd++++=2008.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
classification ^nn+nom+++=classification
has ^vbz+hvz+aux++=has
significantly ^rb++splt++=significantly
influenced ^vprf+++xvbnx+=influenced
the ^ati++++=the
perception ^nn+nom+++=perception
and ^cc++++=and
evaluation ^nn+nom+++=evaluation
of ^in++++=of
journals ^nns+nom+++=journals
from ^in++++=from
the ^ati++++=the
Global ^jj+atrb+++=Global
South ^np+pl+++=South.
. ^zz++++=EXTRAWORD
As ^in++++=As
discussed ^nn++++=discussed
in ^in++++=in
detail ^nn++++=detail
elsewhere ^rb++++=elsewhere
( ^zz++++=(Khanna
khanna ^nn+++??+=EXTRAWORD
& ^zz++++=&
Willinsky ^np+++??+=Willinsky,
, ^zz++++=EXTRAWORD
in ^in++++=in
press ^nn++++=press),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
two ^cd++++=two
major ^jj+atrb+++=major
lists ^nns++++=lists
identifying ^vwbg+++xvbg+=identifying
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^vbd+++xvbn+=EXTRAWORD
" ^zz++++="predatory"
predatory ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
journals ^nns+nom+++=journals:
: ^zz++++=EXTRAWORD
Beall ^np++++=Beall's
's ^$++++=EXTRAWORD
list ^nn++++=list,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
publicly ^rb++++=publicly
available ^jj+pred+++=available
until ^in++++=until
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Cabells ^np+++??+=Cabells'
' ^zz++++=EXTRAWORD
Predatory ^jj+atrb+++=Predatory
Reports ^nns++++=Reports,
, ^zz++++=EXTRAWORD
a ^at++++=a
subscription ^nn+nom+++=subscription-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
service ^nn++++=service
launched ^vbd+++xvbn+=launched
thereafter ^nn+nom+++=thereafter.
. ^zz++++=EXTRAWORD
Beall ^np+++??+=Beall
s ^zz++++=s
2017 ^cd++++=2017
list ^nn++++=list
includes ^vb++++=includes
366 ^cd++++=366
Juojs ^np+++??+=JUOJS
( ^zz++++=(1.4%
1.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
total ^jj+atrb+++=total
Juojs ^np+++??+=JUOJS),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Cabells ^np+++??+=Cabells
Predatory ^jj+atrb+++=Predatory
Reports ^nns++++=Reports
identifies ^vbz++++=identifies
237 ^cd++++=237
Juojs ^np+++??+=JUOJS
( ^zz++++=(1.0%),
1.0% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
82 ^cd++++=82
juojs ^np++++=JUOJS
appearing ^vbg+seem+++=appearing
on ^in++++=on
both ^abx++++=both
lists ^nns++++=lists.
. ^zz++++=EXTRAWORD
