Ros ^np+++??+=Ros
s ^zz++++=s
Labrada ^np+++??+=Labrada
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
archiving ^xvbg+++xvbg+=archiving
was ^vbd+bedz+aux++=was
insufficiently ^rb++splt++=insufficiently
defined ^vpsv++agls+xvbnx+=defined,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
regarding ^in++++=regarding
the ^ati++++=the
implications ^nns+nom+++=implications
of ^in++++=of
online ^nn+++??+=online
sharing ^vwbg+++xvbg+=sharing
of ^in++++=of
materials ^nns+nom+++=materials
that ^tht+rel+subj++=that
identify ^vb++++=identify
specific ^jj+atrb+++=specific
individuals ^nns+nom+++=individuals
and ^cc++++=and
the ^ati++++=the
available ^jj+atrb+++=available
options ^nns+nom+++=options
for ^in++++=for
sharing ^xvbg+++xvbg+=sharing
or ^cc++++=or
restricting ^xvbg+++xvbg+=restricting
access ^nn++++=access
to ^in++++=to
those ^dt+dem+++=those
materials ^nns+nom+++=materials
or ^cc++++=or
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nns+nom+++=address
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
implemented ^vbd+++xvbnx+=implemented
measures ^nns++++=measures
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
community ^nn+nom+++=community
fully ^rb+amp+++=fully
understood ^vbd+vprv++xvbn+=understood
the ^ati++++=the
archiving ^jj+atrb++xvbg+=archiving
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
objective ^nn++++=objective
was ^vbd+bedz+aux++=was
to ^to++++=to
provide ^vbi+vsua+++=provide
a ^at++++=a
clear ^jj+atrb+++=clear
representation ^nn+nom+++=representation
of ^in++++=of
what ^wdt+who+++=what
the ^ati++++=the
archived ^jj+atrb++xvbn+=archived
collection ^nn+nom+++=collection
would ^md+prd+++=would
entail ^vb++++=entail;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
effort ^nn++++=effort
was ^vbd+bedz+aux++=was
complicated ^vpsv++by+xvbnx+=complicated
by ^in++++=by
the ^ati++++=the
community ^nn+nom+++=community
s ^zz++++=s
limited ^vwbn+++xvbn+=limited
access ^nn++++=access
to ^to++++=to
the ^ati++++=the
internet ^np++++=Internet.
. ^zz++++=EXTRAWORD
