Among ^in++++=Among
epiphytes ^nns+++??+=epiphytes,
, ^zz++++=EXTRAWORD
Bromeliaceae ^np+++??+=Bromeliaceae
species ^nn++++=species
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
ecologically ^rb++++=ecologically
significant ^jj++++=significant
within ^in++++=within
their ^pp$+pp3+++=their
native ^jj+atrb+++=native
ecosystems ^nns+++??+=ecosystems
and ^cc++++=and
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
suitable ^jj+atrb+++=suitable
candidates ^nns+nom+++=candidates
for ^in++++=for
relocation ^nn+nom+++=relocation
( ^zz++++=(Jasper
jasper ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Duarte ^np+++??+=Duarte
& ^zz++++=&
Gandolfi ^np+++??+=Gandolfi
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Certain ^jj+atrb+++=Certain
morphological ^jj+atrb+++=morphological
features ^nns++++=features
of ^in++++=of
bromeliads ^nns+++??+=bromeliads,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
overlapping ^jj+++xvbg+=overlapping
of ^in++++=of
leaf ^nn++++=leaf
bases ^nns++++=bases
that ^tht+rel+obj++=that
form ^nn++++=form
cisterns ^nns++++=cisterns
or ^cc++++=or
phytotelmata ^nn+++??+=phytotelmata,
, ^zz++++=EXTRAWORD
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
accumulation ^nn+nom+++=accumulation
and ^cc++++=and
storage ^nn+nom+++=storage
of ^in++++=of
water ^nn++++=water
and ^cc++++=and
nutrients ^nns++++=nutrients,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
accessible ^jj+pred+++=accessible
to ^in++++=to
small ^jj+atrb+++=small
animals ^nns+nom+++=animals
( ^zz++++=(Benzing
benzing ^jj+++xvbg+=EXTRAWORD
2000 ^cd++++=2000).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Stuntz ^np+++??+=Stuntz
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
the ^ati++++=the
evaporation ^nn+nom+++=evaporation
of ^in++++=of
water ^nn++++=water
from ^in++++=from
bromeliad ^nn+++??+=bromeliad
cisterns ^nns++++=cisterns
can ^md+pos+++=can
alter ^vb++++=alter
the ^ati++++=the
behavior ^nn++++=behavior
and ^cc++++=and
niche ^nn++++=niche
distribution ^nn+nom+++=distribution
of ^in++++=of
arboreal ^jj+atrb+++=arboreal
fauna ^nn++++=fauna,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
influencing ^jj+atrb++xvbg+=influencing
canopy ^nn++++=canopy
microclimate ^nn+nom+++=microclimate
conditions ^nns+nom+++=conditions
by ^in++++=by
contributing ^xvbg+++xvbg+=contributing
to ^in++++=to
lower ^jjr+atrb+++=lower
local ^jj+atrb+++=local
temperatures ^nns++++=temperatures.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
bromeliads ^nns+++??+=bromeliads
provide ^vb+vsua+++=provide
other ^ap++++=other
ecological ^jj+atrb+++=ecological
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
including ^in++++=including
flowers ^nns+nom+++=flowers,
, ^zz++++=EXTRAWORD
fruits ^nns++++=fruits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nectar ^nn+++??+=nectar,
, ^zz++++=EXTRAWORD
to ^in++++=to
their ^pp$+pp3+++=their
surrounding ^jj+atrb+++=surrounding
environment ^nn+nom+++=environment
( ^zz++++=(Benzing
benzing ^jj++++=EXTRAWORD
2004 ^cd++++=2004;
; ^zz++++=EXTRAWORD
cestari ^np++++=Cestari
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
