Several ^ap++++=Several
network ^nn++++=network
patterns ^nns++++=patterns
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
differences ^nns+nom+++=differences
in ^in++++=in
species ^nn++++=species
abundance ^nn+nom+++=abundance
( ^zz++++=(V
v ^zz++++=EXTRAWORD
zquez ^nn+++??+=zquez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Lewinsohn ^np+++??+=Lewinsohn
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
opportunism ^nn+nom+++=opportunism
plays ^nns++++=plays
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
organization ^nn+nom+++=organization
of ^in++++=of
many ^ap++++=many
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
Opportunism ^nn+nom+++=Opportunism
may ^md+pos+++=may
enable ^vb++++=enable
species ^nn++++=species
to ^to++++=to
participate ^nn+nom+++=participate
in ^in++++=in
novel ^nn++++=novel
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
utilize ^vb++++=utilize
new ^jj+atrb+++=new
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
structuring ^nn++++=structuring
of ^in++++=of
species ^nn++++=species
interaction ^nn+nom+++=interaction
networks ^nns++++=networks
at ^in++++=at
the ^ati++++=the
community ^nn+nom+++=community
level ^nn++++=level.
. ^zz++++=EXTRAWORD
For ^in++++=For
species ^nn++++=species
to ^to++++=to
establish ^vbi+vprv+++=establish
new ^jj+atrb+++=new
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
traits ^nns++++=traits
and ^cc++++=and
behaviors ^nns++++=behaviors
must ^md+nec+++=must
permit ^vb++++=permit
interactions ^nns+nom+++=interactions
with ^in++++=with
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
individuals ^nns+nom+++=individuals
and ^cc++++=and
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
new ^jj+atrb+++=new
interactions ^nns+nom+++=interactions
and ^cc++++=and
opportunistic ^jj+atrb+++=opportunistic
behavior ^nn++++=behavior
is ^vbz+bez+aux++=is
influenced ^vpsv++agls+xvbnx+=influenced
not ^xnot++not++=not
only ^rb+down+++=only
by ^in++++=by
resource ^nn++++=resource
availability ^nn+nom+++=availability
but ^cc++++=but
also ^rb++++=also
by ^in++++=by
the ^ati++++=the
diversity ^nn+nom+++=diversity
of ^in++++=of
resource ^nn++++=resource
use ^nn++++=use.
. ^zz++++=EXTRAWORD
