A ^at++++=A
reliable ^jj+atrb+++=reliable
digital ^jj+atrb+++=digital
repository ^nn++++=repository
implements ^nns+nom+++=implements
an ^at++++=an
active ^jj+atrb+++=active
strategy ^nn++++=strategy
for ^in++++=for
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
preservation ^nn+nom+++=preservation
of ^in++++=of
digital ^jj+atrb+++=digital
media ^nn++++=media
files ^nns++++=files
and ^cc++++=and
their ^pp$+pp3+++=their
associated ^vbd+++xvbn+=associated
metadata ^nn+++??+=metadata.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Digital ^jj+atrb+++=Digital
Preservation ^nn+nom+++=Preservation
Coalition ^nn+nom+++=Coalition
( ^zz++++=(DPC)
dpc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
defines ^vbz++++=defines
digital ^jj+atrb+++=digital
preservation ^nn+nom+++=preservation
as ^in++++=as
a ^at++++=a
series ^nn++++=series
of ^in++++=of
managed ^vbd+++xvbn+=managed
activities ^nns+nom+++=activities
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
ensure ^vbi+vprv+++=ensure
continued ^vbd+++xvbn+=continued
access ^nn++++=access
to ^in++++=to
digital ^jj+atrb+++=digital
materials ^nns+nom+++=materials
for ^in++++=for
as ^ql++++=as
long ^rb++++=long
as ^ql++++=as
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
encompassing ^jj+++xvbg+=encompassing
all ^abn++++=all
actions ^nns+nom+++=actions
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
maintain ^vbi+vpub+++=maintain
access ^nn++++=access
beyond ^in++++=beyond
the ^ati++++=the
limitations ^nns+nom+++=limitations
imposed ^vwbn+++xvbn+=imposed
by ^in++++=by
media ^nn++++=media
failure ^nn++++=failure
or ^cc++++=or
technological ^jj+atrb+++=technological
and ^cc+phrs+++=and
organizational ^jj+atrb+++=organizational
change ^nn++++=change
( ^zz++++=(DPC,
dpc ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Long ^jj++++=Long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
preservation ^nn+nom+++=preservation
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
the ^ati++++=the
sustained ^jj+atrb++xvbn+=sustained
accessibility ^nn+nom+++=accessibility
of ^in++++=of
digital ^jj+atrb+++=digital
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least
the ^ati++++=the
information ^nn+nom+++=information
they ^pp3a+pp3+++=they
contain ^vb++++=contain,
, ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
indefinite ^jj+atrb+++=indefinite
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Digital ^jj+atrb+++=Digital
preservation ^nn+nom+++=preservation
extends ^vbz++++=extends
beyond ^in++++=beyond
simple ^jj+atrb+++=simple
file ^nn++++=file
backup ^nn+++??+=backup;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
involves ^vbz++++=involves
the ^ati++++=the
migration ^nn+nom+++=migration
of ^in++++=of
data ^nns++++=data
and ^cc++++=and
metadata ^nn+++??+=metadata
across ^in+pl+++=across
different ^jj+atrb+++=different
formats ^nns++++=formats
and ^cc++++=and
software ^nn+++??+=software
systems ^nns++++=systems
as ^in++++=as
technology ^nn++++=technology
evolves ^vbz++++=evolves,
, ^zz++++=EXTRAWORD
the ^ati++++=the
implementation ^nn+nom+++=implementation
of ^in++++=of
accurate ^jj+atrb+++=accurate
redundancy ^nn++++=redundancy
through ^in++++=through
the ^ati++++=the
storage ^nn+nom+++=storage
of ^in++++=of
duplicate ^nn+nom+++=duplicate
copies ^nns++++=copies
on ^in++++=on
various ^jj+atrb+++=various
media ^nn++++=media
types ^nns++++=types
and ^cc++++=and
in ^in++++=in
multiple ^jj+atrb+++=multiple
locations ^nns+nom+++=locations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
regular ^jj++++=regular
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
file ^nn++++=file
integrity ^nn+nom+++=integrity
across ^in+pl+++=across
all ^abn++++=all
storage ^nn+nom+++=storage
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Owens ^np+++??+=Owens
( ^zz++++=(2018,
2018 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
5 ^zz++++=5),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
preservation ^nn+nom+++=preservation
is ^vbz+bez+vrb++=is
an ^at++++=an
ongoing ^jj+atrb++xvbg+=ongoing
process ^nns+nom+++=process
that ^tht+rel+subj++=that
requires ^vbz++++=requires
continuous ^jj+atrb+++=continuous
human ^jj+atrb+++=human
effort ^nn++++=effort
and ^cc++++=and
resource ^nn++++=resource
allocation ^nn+nom+++=allocation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
regarded ^vpsv++agls+xvbn+=regarded
as ^ql++++=as
a ^at++++=a
one ^cd1++++=one-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
expenditure ^nn++++=expenditure.
. ^zz++++=EXTRAWORD
