Background ^nn++++=Background:
: ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn+nom+++=majority
of ^in++++=of
cancer ^nn++++=cancer
patients ^nns++++=patients
with ^in++++=with
malignant ^jj+atrb+++=malignant
fungating ^jj+atrb++xvbg+=fungating
wounds ^nns++++=wounds
experience ^nn+nom+++=experience
wound ^vbd+++xvbn+=wound-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
significantly ^rb++++=significantly
affects ^vbz++++=affects
their ^pp$+pp3+++=their
quality ^nn+nom+++=quality
of ^in++++=of
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Despite ^in++++=Despite
the ^ati++++=the
clinical ^jj+atrb+++=clinical
relevance ^nn+nom+++=relevance
of ^in++++=of
pain ^nn++++=pain
in ^in++++=in
cancer ^nn++++=cancer
and ^cc++++=and
palliative ^jj+atrb+++=palliative
care ^nn++++=care
settings ^nns++++=settings,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+aux++=is
limited ^vpsv++agls+xvbnx+=limited
evidence ^nn+nom+++=evidence
regarding ^in++++=regarding
the ^ati++++=the
availability ^nn+nom+++=availability
and ^cc++++=and
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
topical ^jj+atrb+++=topical
treatments ^nns+nom+++=treatments
for ^in++++=for
pain ^nn++++=pain
management ^nn+nom+++=management
in ^in++++=in
this ^dt+dem+++=this
population ^nn+nom+++=population.
. ^zz++++=EXTRAWORD
