The ^ati++++=The
community ^nn+nom+++=community-wide
- ^zz++++=EXTRAWORD
wide ^jj++++=EXTRAWORD
meeting ^xvbg+++xvbg+=meeting
held ^vwbn+vprv++xvbn+=held
on ^in++++=on
July ^nr++++=July
15 ^cd++++=15
was ^vbd+bedz+aux++=was
attended ^vpsv++by+xvbnx+=attended
by ^in++++=by
a ^at++++=a
substantial ^jj+atrb+++=substantial
number ^nn++++=number
of ^in++++=of
community ^nn+nom+++=community
adults ^nns++++=adults,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
participated ^vbd+++xvbn+=participated
in ^in++++=in
discussions ^nns++++=discussions
regarding ^in++++=regarding
the ^ati++++=the
project ^nn++++=project
and ^cc++++=and
the ^ati++++=the
potential ^jj++++=potential
ethical ^jj++++=ethical
concerns ^vbz++++=concerns
associated ^vbd+++xvbn+=associated
with ^in++++=with
recording ^xvbg+++xvbg+=recording
and ^cc++++=and
archiving ^xvbg+++xvbg+=archiving
audiovisual ^jj+atrb+++=audiovisual
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
primary ^jj+atrb+++=primary
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
meeting ^nvbg+++xvbg+=meeting
was ^vbd+bedz+aux++=was
to ^to++++=to
seek ^vbi++++=seek
permission ^nn++++=permission
for ^in++++=for
recording ^xvbg+++xvbg+=recording,
, ^zz++++=EXTRAWORD
no ^at++++=no
recordings ^nns++++=recordings
of ^in++++=of
the ^ati++++=the
meeting ^nvbg+++xvbg+=meeting
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
progress ^nns+nom+++=progress
was ^vbd+bedz+aux++=was
achieved ^vpsv++agls+xvbnx+=achieved
in ^in++++=in
the ^ati++++=the
permission ^nn++++=permission-seeking
- ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=EXTRAWORD
process ^nns+nom+++=process
during ^in++++=during
this ^dt+dem+++=this
meeting ^nn++++=meeting.
. ^zz++++=EXTRAWORD
