Researchers ^nns+nom++??+=Researchers
who ^whp+rel+obj++=who
work ^nn++++=work
with ^in++++=with
speakers ^nns+nom+++=speakers
of ^in++++=of
indigenous ^jj+atrb+++=indigenous
languages ^nns+nom+++=languages
frequently ^rb++++=frequently
possess ^nns+nom+++=possess
substantial ^jj+atrb+++=substantial
documentary ^nn+nom+++=documentary
collections ^nns+nom+++=collections,
, ^zz++++=EXTRAWORD
including ^in++++=including
field ^nn++++=field
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
audio ^nn+++??+=audio
recordings ^nns++++=recordings,
, ^zz++++=EXTRAWORD
photographs ^nns++++=photographs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
films ^nns++++=films,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
often ^rb++splt++=often
stored ^vpsv++agls+xvbnx+=stored
in ^in++++=in
personal ^jj+atrb+++=personal
or ^cc+phrs+++=or
informal ^jj+atrb+++=informal
settings ^nns++++=settings
that ^tht+rel+obj++=that
may ^md+pos+++=may
expose ^vb++++=expose
them ^pp3o+pp3+++=them
to ^in++++=to
risks ^nns++++=risks
such ^abl++++=such
as ^ql++++=as
humidity ^nn+nom+++=humidity,
, ^zz++++=EXTRAWORD
insect ^nn++++=insect
damage ^nn++++=damage,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
flooding ^nn++++=flooding.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
legacy ^nn++++=legacy
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
their ^pp$+pp3+++=their
quantity ^nn+nom+++=quantity,
, ^zz++++=EXTRAWORD
hold ^nn++++=hold
significant ^jj++++=significant
linguistic ^jj++++=linguistic,
, ^zz++++=EXTRAWORD
cultural ^jj++++=cultural,
, ^zz++++=EXTRAWORD
historical ^jj++++=historical,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
personal ^jj+atrb+++=personal
value ^nn++++=value
for ^in++++=for
both ^abx++++=both
individuals ^nns+nom+++=individuals
and ^cc++++=and
broader ^jjr+atrb+++=broader
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
less ^ql++++=less
well ^rb++++=well-documented
- ^zz++++=EXTRAWORD
documented ^vbd+++xvbn+=EXTRAWORD
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
such ^abl++++=such
materials ^nns+nom+++=materials
may ^md+pos+++=may
represent ^vb++++=represent
the ^ati++++=the
only ^rb+down+++=only
extant ^jj++++=extant
early ^jj++++=early
records ^vbz+vpub+++=records
of ^in++++=of
language ^nn+nom+++=language
use ^nn++++=use,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
other ^ap++++=other
aspects ^nns++++=aspects
of ^in++++=of
community ^nn+nom+++=community
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Unlike ^in++++=Unlike
widely ^rb++++=widely
spoken ^jj+atrb++xvbn+=spoken
languages ^nns+nom+++=languages
such ^abl++++=such
as ^ql++++=as
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
historical ^jj+atrb+++=historical
records ^nns++++=records
are ^vb+ber+vrb++=are
readily ^rb++++=readily
accessible ^jj+pred+++=accessible,
, ^zz++++=EXTRAWORD
the ^ati++++=the
historical ^jj+atrb+++=historical
documentation ^nn+nom+++=documentation
of ^in++++=of
many ^ap++++=many
indigenous ^jj+atrb+++=indigenous
languages ^nns+nom+++=languages
often ^rb++++=often
survives ^vbz++++=survives
solely ^rb++++=solely
due ^jj++++=due
to ^to+jcmp+++=to
dedicated ^vbi++++=dedicated
efforts ^nns++++=efforts
to ^to+ncmp+++=to
archive ^vb++++=archive
these ^dt+dem+++=these
legacy ^nn++++=legacy
materials ^nns+nom+++=materials.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Austin ^np++++=Austin
( ^zz++++=(2017,
2017 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23)
) ^zz++++=EXTRAWORD
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
For ^in++++=For
projects ^nns++++=projects
interested ^jj++++=interested
in ^in++++=in
documenting ^xvbg+++xvbg+=documenting,
, ^zz++++=EXTRAWORD
describing ^vbg+++xvbg+=describing
or ^cc+phrs+++=or
revitalizing ^vbg+++xvbg+=revitalizing
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
endangered ^vbd+++xvbn+=endangered
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
historically ^rb++++=historically
existing ^jj+atrb++xvbg+=existing
materials ^nns+nom+++=materials
( ^zz++++=(whether
whether ^cs+who+++=EXTRAWORD
digital ^jj++++=digital
or ^cc++++=or
analog ^nn+++??+=analog)
) ^zz++++=EXTRAWORD
like ^in++++=like
tape ^nn++++=tape
recordings ^nns++++=recordings
made ^vbd+++xvbn+=made
in ^in++++=in
earlier ^jjr+atrb+++=earlier
times ^nns++++=times
or ^cc++++=or
written ^xvbn+++xvbn+=written
materials ^nns+nom+++=materials
collected ^vwbn+++xvbn+=collected
years ^nns++++=years
or ^cc++++=or
even ^rb++++=even
centuries ^nns++++=centuries
ago ^rb++++=ago
may ^md+pos+++=may
exist ^vb++++=exist
and ^cc++++=and
may ^md+pos+++=may
represent ^vb++++=represent
important ^jj+atrb+++=important
sources ^nns++++=sources
of ^in++++=of
information ^nn+nom+++=information,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
in ^in++++=in
some ^dti++++=some
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
only ^ap+down+++=only
information ^nn+nom+++=information
available ^jj++++=available.
. ^zz++++=EXTRAWORD
Linguists ^nns+nom+++=Linguists
have ^vb+hv+vrb++=have
a ^at++++=a
professional ^jj+atrb+++=professional
obligation ^nn+nom+++=obligation
to ^to+ncmp+++=to
identify ^vbi++++=identify
and ^cc++++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
feasible ^jj++++=feasible,
, ^zz++++=EXTRAWORD
collaborate ^nn+nom+++=collaborate
with ^in++++=with
communities ^nns+nom+++=communities
to ^to++++=to
preserve ^vbi++++=preserve
relevant ^jj+atrb+++=relevant
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
for ^in++++=for
the ^ati++++=the
benefit ^nn++++=benefit
of ^in++++=of
linguistics ^nn++++=linguistics,
, ^zz++++=EXTRAWORD
related ^jj+atrb++xvbn+=related
disciplines ^nns++++=disciplines,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
future ^jjb+atrb+++=future
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
preservation ^nn+nom+++=preservation
enables ^vbz++++=enables
subsequent ^jj+atrb+++=subsequent
philological ^jj+atrb+++=philological
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
documentary ^jj+atrb+++=documentary
record ^nn++++=record,
, ^zz++++=EXTRAWORD
acknowledging ^vbg+++xvbg+=acknowledging
the ^ati++++=the
documentary ^jj+atrb+++=documentary
lineage ^nn+nom+++=lineage
inherent ^jj++++=inherent
in ^in++++=in
all ^rb++++=all
linguistic ^jj+atrb+++=linguistic
data ^nns++++=data
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
interpreted ^j+++xvbn+=interpreted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
analyzed ^vpsv++agls+xvbn+=analyzed
over ^in++++=over
time ^nn++++=time
( ^zz++++=(Goddard,
goddard ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1973 ^cd+date+++=1973,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
727 ^cd++++=727).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
linguists ^nns+nom+++=linguists
must ^md+nec+++=must
ensure ^vb+vprv+++=ensure
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
work ^nn++++=work
with ^in++++=with
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
adheres ^vbz++++=adheres
to ^in++++=to
ethical ^jj+atrb+++=ethical
standards ^nns++++=standards
( ^zz++++=(O
o ^zz++++=EXTRAWORD
Meara ^np+++??+=Meara
and ^cc++++=and
good ^jj++++=Good,
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
also ^rb++++=also
4 ^zz++++=4
above ^jjb++++=above).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
