At ^rb++++=At
certain ^jj+atrb+++=certain
points ^nns++++=points,
, ^zz++++=EXTRAWORD
participants ^nns+nom+++=participants
may ^md+pos+++=may
interrupt ^vb++++=interrupt
the ^ati++++=the
attack ^nn++++=attack-escape
- ^zz++++=EXTRAWORD
escape ^vb++++=EXTRAWORD
dynamic ^jj++++=dynamic
by ^in++++=by
incorporating ^xvbg+++xvbg+=incorporating
ritualized ^jj+atrb++xvbn+=ritualized
sub ^nn++++=sub-games
- ^zz++++=EXTRAWORD
games ^nns++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
chamada ^nn+++??+=chamada
or ^cc++++=or
volta ^nn+++??+=volta
ao ^nn+++??+=ao
mundo ^nn+++??+=mundo,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
by ^in++++=by
introducing ^xvbg+++xvbg+=introducing
elements ^nns+nom+++=elements
of ^in++++=of
dance ^nn++++=dance
or ^cc++++=or
brief ^jj+atrb+++=brief
dramatic ^jj+atrb+++=dramatic
performances ^nns+nom+++=performances.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
instances ^nns+nom+++=instances
promote ^vb++++=promote
playfulness ^nns+nom+++=playfulness
and ^cc++++=and
self ^nn++++=self-expression;
- ^zz++++=EXTRAWORD
expression ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
even ^rb++++=even
gestures ^nns++++=gestures
that ^tht+rel+subj++=that
appear ^vb+seem+++=appear
harmless ^jj++++=harmless
or ^cc+phrs+++=or
friendly ^jj++++=friendly
can ^md+pos+++=can
function ^nn+nom+++=function
as ^ql++++=as
a ^at++++=a
strategy ^nn++++=strategy
to ^to++++=to
disguise ^vbi++++=disguise
an ^at++++=an
impending ^jj+atrb+++=impending
attack ^nn++++=attack.
. ^zz++++=EXTRAWORD
The ^ati++++=The
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
mislead ^vb+++??+=mislead
an ^at++++=an
opponent ^nn++++=opponent
through ^in++++=through
such ^abl++++=such
deceptive ^jj+atrb+++=deceptive
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
as ^ql++++=as
malandragem ^vb+++??+=malandragem,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
a ^at++++=a
highly ^rb+amp+++=highly
valued ^vpsv++agls+xvbn+=valued
skill ^nn++++=skill
in ^in++++=in
capoeira ^nn++++=capoeira.
. ^zz++++=EXTRAWORD
