At ^rb++++=At
the ^ati++++=the
conclusion ^nn++++=conclusion
of ^in++++=of
all ^abn++++=all
germination ^nn+nom+++=germination
trials ^nns++++=trials,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
determined ^vbd+++xvbn+=determined
the ^ati++++=the
germination ^nn+nom+++=germination
percentage ^nn+nom+++=percentage
( ^zz++++=(G%)
g ^zz++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
mean ^jj+atrb+++=mean
germination ^nn+nom+++=germination
time ^nn++++=time
( ^zz++++=(MGT)
mgt ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
daily ^jj+atrb+++=daily
count ^npt++++=count
of ^in++++=of
germinated ^jj+atrb++xvbn+=germinated
pyrenes ^nns+++??+=pyrenes,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
the ^ati++++=the
methodologies ^nn++++=methodologies
described ^vwbn+++xvbn+=described
by ^in++++=by
Labouriau ^np+++??+=Labouriau
( ^zz++++=(1983)
1983 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Ranal ^np+++??+=Ranal
and ^cc++++=and
Santana ^np+++??+=Santana
( ^zz++++=(2006).
2006 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
germination ^nn+nom+++=germination
speed ^nn++++=speed
index ^nn++++=index
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
according ^in+cmpx+++=according
to ^in++++=to
Maguire ^np+++??+=Maguire
( ^zz++++=(1962).
1962 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Non ^&fw++++=Non-germinated
- ^zz++++=EXTRAWORD
germinated ^jj+atrb++xvbn+=EXTRAWORD
pyrenes ^nns+++??+=pyrenes
were ^vbd+bed+aux++=were
categorized ^vpsv++agls+xvbnx+=categorized
as ^ql++++=as
either ^dtx++++=either
dormant ^jj++++=dormant
or ^cc+phrs+++=or
dead ^jj++++=dead;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
seed ^nn++++=seed
viability ^nn+nom+++=viability
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
assessed ^vbd+++xvbn+=assessed
using ^vbg+++xvbg+=using
a ^at++++=a
tetrazolium ^nn+++??+=tetrazolium
test ^nn++++=test.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
classified ^vwbn+++xvbn+=classified
as ^ql++++=as
dormant ^jj++++=dormant
or ^cc+phrs+++=or
dead ^jj++++=dead
were ^vbd+bed+aux++=were
excluded ^vpsv++agls+xvbn+=excluded
from ^in++++=from
the ^ati++++=the
data ^nns++++=data
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
