Despite ^in++++=Despite
the ^ati++++=the
significant ^jj+atrb+++=significant
relevance ^nn+nom+++=relevance
of ^in++++=of
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotions ^nns+nom+++=emotions
to ^in++++=to
both ^abx++++=both
teaching ^jj+++xvbg+=teaching
and ^cc++++=and
student ^nn++++=student
learning ^vwbg+vprv++xvbg+=learning
( ^zz++++=(Akbari
akbari ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
area ^nn++++=area
has ^vbz+hvz+aux++=has
received ^vprf+++xvbnx+=received
limited ^vbd+++xvbn+=limited
scholarly ^jj+atrb+++=scholarly
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
Research ^nn++++=Research
on ^in++++=on
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
emotional ^jj+atrb+++=emotional
experiences ^nns+nom+++=experiences,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
predominantly ^rb++splt++=predominantly
employed ^vprf+++xvbnx+=employed
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
of ^in++++=of
stress ^nn++++=stress
and ^cc++++=and
coping ^nvbg+++xvbg+=coping,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
primary ^jj+atrb+++=primary
focus ^nn++++=focus
on ^in++++=on
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
stress ^vb+vpub+++=stress
responses ^nns++++=responses
and ^cc++++=and
the ^ati++++=the
stressful ^jj+atrb+++=stressful
events ^nns++++=events
they ^pp3a+pp3+++=they
encounter ^nn+nom+++=encounter
( ^zz++++=(Buri
buri ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Lipp ^np+++??+=Lipp,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
emotion ^nn+nom+++=emotion
regulation ^nn+nom+++=regulation
includes ^vb++++=includes
a ^at++++=a
range ^nn++++=range
of ^in++++=of
both ^abx++++=both
negative ^jj+atrb+++=negative
and ^cc+phrs+++=and
positive ^jj+atrb+++=positive
emotions ^nns+nom+++=emotions
that ^tht+rel+subj++=that
arise ^vb++++=arise
during ^in++++=during
teachers ^nns+nom+++=teachers'
' ^zz++++=EXTRAWORD
routine ^jj+atrb+++=routine
professional ^jj+atrb+++=professional
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
offering ^vbg+++xvbg+=offering
broader ^jjr+atrb+++=broader
opportunities ^nns+nom+++=opportunities
for ^in++++=for
investigation ^nn+nom+++=investigation
in ^in++++=in
this ^dt+dem+++=this
field ^nn++++=field.
. ^zz++++=EXTRAWORD
