Plants ^nns++++=Plants
terrestrial ^jj++++=terrestrial.
. ^zz++++=EXTRAWORD
Rhizomes ^np+++??+=Rhizomes
short ^jj++++=short-creeping,
- ^zz++++=EXTRAWORD
creeping ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Leaves ^nns++++=Leaves
30 ^cd++++=30
50 ^cd++++=50
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
stipes ^nns+++??+=stipes
15 ^cd++++=15
25 ^cd++++=25
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
brown ^jj++++=brown
proximally ^rb++++=proximally
and ^cc++++=and
stramineous ^jj++++=stramineous
distally ^rb+cnj+++=distally,
, ^zz++++=EXTRAWORD
quadrangular ^nn+++??+=quadrangular
in ^in++++=in
cross ^jj++++=cross-section,
- ^zz++++=EXTRAWORD
section ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj++++=dark
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
acuminate ^nn+nom+++=acuminate
scales ^nns++++=scales
and ^cc++++=and
sparse ^nn+++??+=sparse,
, ^zz++++=EXTRAWORD
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
near ^in+pl+++=near
the ^ati++++=the
base ^nn++++=base;
; ^zz++++=EXTRAWORD
laminae ^nn+++??+=laminae
15 ^cd++++=15
25 ^cd++++=25
cm ^nnu++++=cm
long ^jj++++=long,
, ^zz++++=EXTRAWORD
bipinnate ^nn+nom+++=bipinnate;
; ^zz++++=EXTRAWORD
rachises ^vbz++++=rachises
not ^xnot++not++=not
winged ^jj++++=winged,
, ^zz++++=EXTRAWORD
stramineous ^jj++++=stramineous,
, ^zz++++=EXTRAWORD
with ^in++++=with
sparse ^nn+++??+=sparse
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs;
; ^zz++++=EXTRAWORD
basal ^jj+atrb+++=basal
pinnae ^nn+++??+=pinnae
10 ^cd++++=10
15 ^cd++++=15
2.5 ^cd++++=2.5
3.5 ^cd++++=3.5
cm ^nnu++++=cm,
, ^zz++++=EXTRAWORD
equilateral ^jj++++=equilateral;
; ^zz++++=EXTRAWORD
pinnules ^nns+++??+=pinnules
petiolulate ^nn+nom+++=petiolulate,
, ^zz++++=EXTRAWORD
dimidiate ^nn+nom+++=dimidiate,
, ^zz++++=EXTRAWORD
1.5 ^cd++++=1.5
2 ^zz++++=2
cm ^nnu++++=cm
long ^jj++++=long;
; ^zz++++=EXTRAWORD
costae ^nn+++??+=costae
on ^in++++=on
both ^abx++++=both
abaxial ^jj+atrb+++=abaxial
and ^cc+phrs+++=and
adaxial ^jj+atrb+++=adaxial
surfaces ^nns++++=surfaces
with ^in++++=with
sparse ^nn+++??+=sparse
two ^cd++++=two-celled
- ^zz++++=EXTRAWORD
celled ^jj+atrb++xvbn+=EXTRAWORD
glandular ^nn+++??+=glandular
hairs ^nns++++=hairs
or ^cc++++=or
becoming ^jj+++xvbg+=becoming
glabrescent ^jj++++=glabrescent;
; ^zz++++=EXTRAWORD
veins ^nns++++=veins
glabrous ^jj++++=glabrous
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces;
; ^zz++++=EXTRAWORD
laminar ^nn+++??+=laminar
tissue ^nn++++=tissue
between ^in++++=between
veins ^nns++++=veins
glabrous ^jj++++=glabrous
on ^in++++=on
both ^abx++++=both
surfaces ^nns++++=surfaces;
; ^zz++++=EXTRAWORD
sori ^nn+++??+=sori
continuous ^jj++++=continuous,
, ^zz++++=EXTRAWORD
located ^xvbn+++xvbn+=located
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
multiple ^jj+atrb+++=multiple
veins ^nns++++=veins;
; ^zz++++=EXTRAWORD
inner ^jjb+atrb+++=inner
indusia ^nn+++??+=indusia
membranaceous ^jj++++=membranaceous
to ^in++++=to
papyraceous ^jj++++=papyraceous,
, ^zz++++=EXTRAWORD
with ^in++++=with
entire ^jjb++++=entire,
, ^zz++++=EXTRAWORD
wavy ^jj+atrb+++=wavy,
, ^zz++++=EXTRAWORD
glabrous ^jj+atrb+++=glabrous
margins ^nns++++=margins.
. ^zz++++=EXTRAWORD
