Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Buri ^np+++??+=Buri
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
reported ^vbd+vpub++xvbn+=reported
experiencing ^vbg+++xvbg+=experiencing
a ^at++++=a
broad ^jj+atrb+++=broad
spectrum ^nn+++??+=spectrum
of ^in++++=of
emotions ^nns+nom+++=emotions
with ^in++++=with
considerable ^jj+atrb+++=considerable
intensity ^nn+nom+++=intensity
during ^in++++=during
teaching ^xvbg+++xvbg+=teaching,
, ^zz++++=EXTRAWORD
student ^nn++++=student
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
classroom ^nn++++=classroom
management ^nn+nom+++=management.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
teachers ^nns+nom+++=teachers
tended ^vbd+++xvbn+=tended
to ^to+vcmp+++=to
focus ^vbi++++=focus
more ^rbr++++=more
on ^in++++=on
negative ^jj+atrb+++=negative
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
their ^pp$+pp3+++=their
efforts ^nns++++=efforts
to ^to+ncmp+++=to
regulate ^nn+nom+++=regulate
these ^dt+dem+++=these
affective ^nn++++=affective
responses ^nns++++=responses.
. ^zz++++=EXTRAWORD
Anger ^nn++++=Anger
and ^cc++++=and
sadness ^nns+nom+++=sadness
emerged ^vbd+++xvbn+=emerged
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
prominent ^jj+atrb+++=prominent
primary ^jj+atrb+++=primary
emotions ^nns+nom+++=emotions,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
associated ^vbd+++xvbn+=associated
with ^in++++=with
interactional ^nn+nom+++=interactional
challenges ^vbz++++=challenges
such ^abl++++=such
as ^ql++++=as
student ^nn++++=student
misbehavior ^nn++++=misbehavior
and ^cc++++=and
relationships ^nns+nom+++=relationships
with ^in++++=with
colleagues ^nns++++=colleagues
or ^cc++++=or
supervisors ^nns++++=supervisors,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
aligns ^nns+++??+=aligns
with ^in++++=with
previous ^jj+atrb+++=previous
research ^nn++++=research
( ^zz++++=(Buri
buri ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Chang ^np+++??+=Chang
& ^zz++++=&
Davis ^np++++=Davis,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Taxer ^np+++??+=Taxer
& ^zz++++=&
Gross ^jj++++=Gross,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Technical ^jj+atrb+++=Technical
