When ^wrb+who+++=When
performing ^vbg+++xvbg+=performing
a ^at++++=a
song ^nn++++=song,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
foundation ^nn+nom+++=foundation
and ^cc++++=and
convey ^vb++++=convey
a ^at++++=a
clear ^jj+atrb+++=clear
message ^nn+nom+++=message
to ^in++++=to
the ^ati++++=the
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
people ^nns++++=people
today ^nr+tm+++=today
are ^vb+ber+aux++=are
challenged ^vpsv++by+xvbnx+=challenged
by ^in++++=by
the ^ati++++=the
meanings ^nns++++=meanings
embedded ^vbd+++xvbn+=embedded
in ^in++++=in
songs ^nns++++=songs
performed ^vwbn+++xvbn+=performed
by ^in++++=by
singers ^nns+nom+++=singers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
often ^rb++++=often
do ^vb+do+aux++=do
not ^xnot++not++=not
fully ^rb+amp+++=fully
understand ^vb+vprv+++=understand
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
sing ^vb++++=sing
a ^at++++=a
song ^nn++++=song
to ^in++++=to
you ^pp2+pp2+++=you
and ^cc++++=and
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
pay ^vb++++=pay
attention ^nn+nom+++=attention
to ^in++++=to
its ^pp$+it+++=its
content ^nn++++=content,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
miss ^vb++++=miss
important ^jj+atrb+++=important
information ^nn+nom+++=information
or ^cc++++=or
warnings ^nns++++=warnings.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
subsequently ^rb+tm+++=subsequently
take ^vb++++=take
an ^at++++=an
action ^nn++++=action
such ^abl++++=such
as ^ql++++=as
kicking ^jj+++xvbg+=kicking
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
might ^md+pos+++=might
question ^nn+nom+++=question
why ^wrb+who+++=why
this ^dt+dem+++=this
occurred ^jj+++xvbn+=occurred.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
song ^nn++++=song
may ^md+pos+++=may
have ^vb+hv+aux++=have
contained ^vprf+++xvbnx+=contained
a ^at++++=a
warning ^nn++++=warning
about ^in++++=about
this ^dt+dem+++=this
action ^nn++++=action,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
overlooked ^vpsv++by+xvbn+=overlooked
by ^in++++=by
not ^xnot++not++=not
