Although ^cs+con+++=Although
English ^nn++++=English
maintains ^vbz+vpub+++=maintains
a ^at++++=a
dominant ^jj+atrb+++=dominant
position ^nn+nom+++=position
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
language ^nn+nom+++=language
of ^in++++=of
research ^nn++++=research
among ^in++++=among
Juojs ^np+++??+=JUOJS,
, ^zz++++=EXTRAWORD
48.3 ^cd++++=48.3%
% ^zz++++=EXTRAWORD
of ^in++++=of
these ^dt+dem+++=these
journals ^nns+nom+++=journals
publish ^vb++++=publish
content ^nn++++=content
in ^in++++=in
more ^rbr++++=more
than ^in++++=than
one ^cd1++++=one
language ^nn+nom+++=language
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
7 ^zz++++=7).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
distribution ^nn+nom+++=distribution
of ^in++++=of
the ^ati++++=the
four ^cd++++=four
leading ^jj+atrb++xvbg+=leading
languages ^nns+nom+++=languages
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
across ^in+pl+++=across
both ^abx++++=both
monolingual ^nn+nom+++=monolingual
and ^cc++++=and
multilingual ^jj+atrb+++=multilingual
journals ^nns+nom+++=journals
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
8 ^zz++++=8).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Monolingual ^np+nom++??+=Monolingual
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
journals ^nns+nom+++=journals
constitute ^vb++++=constitute
the ^ati++++=the
largest ^jjt+atrb+++=largest
group ^nn++++=group,
, ^zz++++=EXTRAWORD
comprising ^jj+++xvbg+=comprising
6,651 ^cd++++=6,651
titles ^nns++++=titles
( ^zz++++=(represented
represented ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
a ^at++++=a
single ^jj+atrb+++=single
dot ^nn++++=dot
under ^in++++=under
the ^ati++++=the
first ^od++++=first
column ^nn++++=column).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
significant ^jj+atrb+++=significant
bibliodiversity ^nn+nom+++=bibliodiversity
is ^vbz+bez+vrb++=is
evident ^jj+pred+++=evident
in ^in++++=in
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
categories ^nns++++=categories,
, ^zz++++=EXTRAWORD
with ^in++++=with
Indonesian ^np+++??+=Indonesian-English
- ^zz++++=EXTRAWORD
english ^jj+atrb+++=EXTRAWORD
bilingual ^jj+atrb+++=bilingual
journals ^nns+nom+++=journals
accounting ^vwbg+++xvbg+=accounting
for ^in++++=for
4,431 ^cd++++=4,431
titles ^nns++++=titles
and ^cc++++=and
Portuguese ^jj++++=Portuguese-Spanish-English
- ^zz++++=EXTRAWORD
spanish ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
english ^jj+atrb+++=EXTRAWORD
trilingual ^jj+atrb+++=trilingual
journals ^nns+nom+++=journals
comprising ^vwbg+++xvbg+=comprising
550 ^cd++++=550
titles ^nns++++=titles.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
should ^md+nec+++=should
be ^vb+be+aux++=be
noted ^vpsv++agls+xvbnx+=noted
that ^tht+vcmp+++=that
the ^ati++++=the
prevalence ^nn+nom+++=prevalence
of ^in++++=of
English ^jj+atrb+++=English
may ^md+pos+++=may
be ^vb+be+aux++=be
overestimated ^vprf+++xvbn+=overestimated,
, ^zz++++=EXTRAWORD
as ^in++++=as
language ^nn+nom+++=language
analysis ^nn++++=analysis
is ^vbz+bez+aux++=is
often ^rb++splt++=often
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
titles ^nns++++=titles
and ^cc++++=and
abstracts ^nns+++??+=abstracts,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
frequently ^rb++splt++=frequently
translated ^vpsv++agls+xvbnx+=translated
into ^in++++=into
English ^nn++++=English
from ^in++++=from
other ^ap++++=other
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
articles ^nns++++=articles
incorporate ^nn+nom+++=incorporate
multiple ^jj+atrb+++=multiple
languages ^nns+nom+++=languages
within ^in++++=within
their ^pp$+pp3+++=their
text ^nn++++=text,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
combinations ^nns+nom+++=combinations
of ^in++++=of
spanish ^jj++++=Spanish
and ^cc++++=and
castilian ^nn++++=Castilian
or ^cc++++=or
bahasa ^np++++=Bahasa
indonesia ^np++++=Indonesia
and ^cc++++=and
javanese ^jj++++=Javanese.
. ^zz++++=EXTRAWORD
