Lianas ^np+++??+=Lianas
are ^vb+ber+vrb++=are
woody ^nn+++??+=woody
climbers ^nns+nom+++=climbers
whose ^whp+rel+obj++=whose
stems ^nns++++=stems
and ^cc++++=and
leaves ^nns++++=leaves
are ^vb+ber+vrb++=are
subject ^nn++++=subject
to ^in++++=to
various ^jj+atrb+++=various
environmental ^jj+atrb+++=environmental
pressures ^nns++++=pressures,
, ^zz++++=EXTRAWORD
including ^in++++=including
mechanical ^jj+atrb+++=mechanical
damage ^nn++++=damage
and ^cc++++=and
dehydration ^nn+nom+++=dehydration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
resistance ^nn+nom+++=resistance
of ^in++++=of
plant ^nn++++=plant
tissues ^nns++++=tissues
to ^in++++=to
damage ^nn++++=damage
can ^md+pos+++=can
be ^vb+be+aux++=be
biomechanically ^rb++splt++=biomechanically
assessed ^vpsv++agls+xvbnx+=assessed
through ^in++++=through
measurements ^nns+nom+++=measurements
of ^in++++=of
stiffness ^nns+nom+++=stiffness,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
toughness ^nns+nom+++=toughness.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
physical ^jj+atrb+++=physical
resistance ^nn+nom+++=resistance
and ^cc++++=and
tissue ^nn++++=tissue
moisture ^nn++++=moisture
content ^nn++++=content
is ^vbz+bez+aux++=is
well ^rb++++=well
established ^vbd+vprv++xvbn+=established
in ^in++++=in
woody ^nn+++??+=woody
plants ^nns++++=plants,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^nns++++=remains
unclear ^nn+++??+=unclear
and ^cc++++=and
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
systematically ^rb++splt++=systematically
investigated ^vpsv++agls+xvbn+=investigated
in ^in++++=in
lianas ^nns+++??+=lianas.
. ^zz++++=EXTRAWORD
In ^in++++=In
