At ^rb++++=At
least ^rb"++++=least
three ^cd++++=three
key ^jjb+atrb+++=key
considerations ^nns+nom+++=considerations
are ^vb+ber+vrb++=are
relevant ^jj+pred+++=relevant
to ^in++++=to
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
a ^at++++=a
research ^nn++++=research
paradigm ^nn++++=paradigm.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chosen ^jj+atrb++xvbn+=chosen
paradigm ^nn++++=paradigm
should ^md+nec+++=should
provide ^vb+vsua+++=provide
a ^at++++=a
consistent ^jj+atrb+++=consistent
and ^cc+phrs+++=and
coherent ^jj+atrb+++=coherent
framework ^nn++++=framework
throughout ^rb++++=throughout
all ^abn++++=all
stages ^nns++++=stages
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
( ^zz++++=(Taber,
taber ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
55 ^cd++++=55).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
different ^jj+atrb+++=different
paradigms ^nns++++=paradigms
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
distinct ^jj+atrb+++=distinct
purposes ^nns++++=purposes
and ^cc++++=and
methodologies ^nns+++??+=methodologies,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
produce ^vb++++=produce
different ^jj+atrb+++=different
outcomes ^nns+++??+=outcomes
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
68 ^cd++++=68).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Third ^rb+cnj+++=Third,
, ^zz++++=EXTRAWORD
every ^at++++=every
study ^nn++++=study
is ^vbz+bez+aux++=is
informed ^vpsv++by+xvbnx+=informed
by ^in++++=by
a ^at++++=a
paradigm ^nn++++=paradigm,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
this ^dt+pdem+++=this
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
explicit ^jj++++=explicit
or ^cc++++=or
remains ^nns++++=remains
implicit ^jj++++=implicit
in ^in++++=in
the ^ati++++=the
formulation ^nn+nom+++=formulation
and ^cc++++=and
investigation ^nn+nom+++=investigation
of ^in++++=of
the ^ati++++=the
research ^nn++++=research
questions ^nns+nom+++=questions
( ^zz++++=(p.
p ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
68 ^cd++++=68).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
considerations ^nns+nom+++=considerations
highlight ^nn++++=highlight
the ^ati++++=the
necessity ^nn+nom+++=necessity
of ^in++++=of
carefully ^rb++++=carefully
evaluating ^vbg+++xvbg+=evaluating
the ^ati++++=the
alignment ^nn+nom+++=alignment
between ^in++++=between
research ^nn++++=research
objectives ^nns++++=objectives
and ^cc++++=and
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
appropriate ^jj+atrb+++=appropriate
methodological ^jj+atrb+++=methodological
approaches ^nns++++=approaches.
. ^zz++++=EXTRAWORD
