Motivated ^vbd+++xvbn+=Motivated
execution ^nn+nom+++=execution
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
sustained ^jj+atrb++xvbn+=sustained
engagement ^nn+nom+++=engagement
in ^in++++=in
actions ^nns+nom+++=actions
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
guided ^vpsv++by+xvbnx+=guided
by ^in++++=by
specific ^jj+atrb+++=specific
goals ^nns++++=goals.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
involves ^vbz++++=involves
maintaining ^vbg+++xvbg+=maintaining
a ^at++++=a
high ^jj+atrb+++=high
level ^nn++++=level
of ^in++++=of
concentration ^nn+nom+++=concentration
throughout ^in++++=throughout
the ^ati++++=the
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
duration ^nn+nom+++=duration
of ^in++++=of
focus ^nn++++=focus
varying ^jj++++=varying
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
task ^nn++++=task.
. ^zz++++=EXTRAWORD
