Both ^abx++++=Both
paradigms ^nns++++=paradigms
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
subject ^nn++++=subject
to ^in++++=to
criticism ^nn+nom+++=criticism.
. ^zz++++=EXTRAWORD
Positivist ^np+nom++??+=Positivist
research ^nn++++=research
is ^vbz+bez+aux++=is
often ^rb++splt++=often
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
superficial ^jj++++=superficial
and ^cc+phrs+++=and
restrictive ^jj++++=restrictive,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
may ^md+pos+++=may
fail ^vb++++=fail
to ^to+vcmp+++=to
account ^vbi++++=account
for ^in+ppvb+++=for
underlying ^xvbg+++xvbg+=underlying
contradictions ^nns+nom+++=contradictions
and ^cc++++=and
tends ^vbz++++=tends
to ^to+vcmp+++=to
assume ^vbi+vprv+++=assume
that ^tht+vcmp+++=that
findings ^nns++++=findings
or ^cc++++=or
solutions ^nns+nom+++=solutions
are ^vb+ber+vrb++=are
universally ^rb++++=universally
applicable ^jj+pred+++=applicable
across ^in+pl+++=across
different ^jj+atrb+++=different
contexts ^nns++++=contexts
( ^zz++++=(Taber,
taber ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
interpretivist ^nn+nom+++=interpretivist
studies ^nns++++=studies
are ^vb+ber+aux++=are
sometimes ^rb++splt++=sometimes
criticized ^vpsv++agls+xvbnx+=criticized
for ^in++++=for
relying ^nn++++=relying
on ^in++++=on
anecdotal ^jj+atrb+++=anecdotal
evidence ^nn+nom+++=evidence
or ^cc++++=or
lacking ^jj+atrb++xvbg+=lacking
methodological ^jj+atrb+++=methodological
rigor ^nn++++=rigor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
limit ^vb++++=limit
the ^ati++++=the
generalizability ^nn+nom+++=generalizability
and ^cc++++=and
scalability ^nn+nom+++=scalability
of ^in++++=of
their ^pp$+pp3+++=their
findings ^nns++++=findings.
. ^zz++++=EXTRAWORD
