As ^in++++=As
demonstrated ^nn++++=demonstrated
by ^in++++=by
the ^ati++++=the
Mako ^np+++??+=Mako
case ^nn++++=case,
, ^zz++++=EXTRAWORD
access ^nn++++=access
to ^in++++=to
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
materials ^nns+nom+++=materials
is ^vbz+bez+vrb++=is
often ^rb++++=often
a ^at++++=a
central ^jj+atrb+++=central
concern ^nn++++=concern
for ^in++++=for
communities ^nns+nom+++=communities,
, ^zz++++=EXTRAWORD
including ^in++++=including
not ^xnot++not++=not
only ^rb+down+++=only
individuals ^nns+nom+++=individuals
directly ^rb++++=directly
involved ^vbd+++xvbn+=involved
in ^in++++=in
documentation ^nn+nom+++=documentation
efforts ^nns++++=efforts
but ^cc++++=but
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sometimes ^rb++++=sometimes
to ^in++++=to
an ^at++++=an
even ^rb++++=even
greater ^jjr+atrb+++=greater
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
descendants ^nns+nom+++=descendants
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Dwyer ^np+++??+=Dwyer,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
59 ^cd++++=59;
; ^zz++++=EXTRAWORD
Vapnarsky ^np+++??+=Vapnarsky,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
R ^zz++++=R.
. ^zz++++=EXTRAWORD
Miller ^np++++=Miller,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
process ^nns+nom+++=process
of ^in++++=of
returning ^xvbg+++xvbg+=returning
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
materials ^nns+nom+++=materials
to ^in++++=to
communities ^nns+nom+++=communities
is ^vbz+bez+vrb++=is
frequently ^rb++++=frequently
complex ^jj+pred+++=complex
and ^cc++++=and
involves ^vbz++++=involves
multiple ^jj+atrb+++=multiple
stages ^nns++++=stages,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
careful ^jj+atrb+++=careful
consideration ^nn+nom+++=consideration
of ^in++++=of
the ^ati++++=the
varying ^jj+atrb++xvbg+=varying
capacities ^nns+nom+++=capacities
of ^in++++=of
community ^nn+nom+++=community
members ^nns+nom+++=members
to ^in++++=to
access ^nn++++=access
these ^dt+dem+++=these
resources ^nns++++=resources.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
capacities ^nns+nom+++=capacities
may ^md+pos+++=may
be ^vb+be+aux++=be
limited ^vpsv++by+xvbnx+=limited
by ^in++++=by
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
insufficient ^jj+atrb+++=insufficient
internet ^nn+++??+=internet
access ^nn++++=access,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
restricts ^vbz++++=restricts
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
view ^vb++++=view
or ^cc++++=or
download ^nn+++??+=download
materials ^nns+nom+++=materials
from ^in++++=from
digital ^jj+atrb+++=digital
repositories ^nns++++=repositories,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
by ^in++++=by
the ^ati++++=the
skills ^nns++++=skills
needed ^vwbn+++xvbn+=needed
to ^to+vcmp+++=to
navigate ^nn+nom+++=navigate
online ^nn+++??+=online
interfaces ^nns+++??+=interfaces
particularly ^rb++++=particularly
when ^wrb+who+++=when
these ^dt+dem+++=these
interfaces ^nns+++??+=interfaces
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
languages ^nns+nom+++=languages
such ^abl++++=such
as ^ql++++=as
English ^jj++++=English
and ^cc++++=and
by ^in++++=by
general ^jj+atrb+++=general
computer ^nn+nom+++=computer
literacy ^nn+nom+++=literacy.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
community ^nn+nom+++=community
members ^nns+nom+++=members
may ^md+pos+++=may
have ^vb+hv+aux++=have
limited ^vprf+++xvbnx+=limited
access ^nn++++=access
to ^in++++=to
static ^jj+atrb+++=static
technologies ^nns+++??+=technologies
such ^abl++++=such
as ^ql++++=as
Cd ^&fo++++=CD
and ^cc++++=and
Dvd ^np+++??+=DVD
players ^nns+nom+++=players,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
also ^rb++++=also
face ^nn++++=face
challenges ^vbz++++=challenges
in ^in++++=in
reading ^xvbg+++xvbg+=reading
printed ^xvbn+++xvbn+=printed
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
in ^in++++=in
the ^ati++++=the
community ^nn+nom+++=community
language ^nn+nom+++=language
or ^cc++++=or
in ^in++++=in
other ^ap++++=other
languages ^nns+nom+++=languages.
. ^zz++++=EXTRAWORD
