It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
acknowledge ^vbi+vpub+tht0++=acknowledge
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
information ^nn+nom+++=information
and ^cc++++=and
communication ^nn+nom+++=communication
technologies ^nns+++??+=technologies
( ^zz++++=(ICT)
ict ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
can ^md+pos+++=can
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
enhancement ^nn+nom+++=enhancement
of ^in++++=of
contextualized ^jj+++xvbn+=contextualized
Tsa ^np+++??+=TSA
and ^cc++++=and
support ^nn++++=support
engagement ^nn+nom+++=engagement
with ^in++++=with
a ^at++++=a
global ^jj+atrb+++=global
discourse ^nn++++=discourse
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
benefits ^nns++++=benefits
may ^md+pos+++=may
be ^vb+be+aux++=be
limited ^vpsv++agls+xvbnx+=limited
in ^in++++=in
regions ^nns++++=regions
and ^cc++++=and
countries ^nns++++=countries
where ^wrb+who+++=where
teachers ^nns+nom+++=teachers
and ^cc++++=and
course ^nn++++=course
developers ^nns+nom+++=developers
lack ^nn++++=lack
adequate ^jj+atrb+++=adequate
access ^nn++++=access
to ^in++++=to
such ^abl++++=such
technologies ^nns+++??+=technologies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scientific ^jj+atrb+++=scientific
equity ^nn++++=equity
that ^tht+rel+obj++=that
Ceap ^np+++??+=CEAP
seeks ^vbz++++=seeks
to ^to+vcmp+++=to
foster ^vbi++++=foster
among ^in++++=among
students ^nns++++=students
is ^vbz+bez+aux++=is
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
multiple ^jj+atrb+++=multiple
factors ^nns++++=factors
beyond ^in++++=beyond
the ^ati++++=the
control ^nn++++=control
of ^in++++=of
instructors ^nns++++=instructors.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
remains ^nns++++=remains
essential ^nn++++=essential
for ^in++++=for
Esp ^np+++??+=ESP
teachers ^nns+nom+++=teachers
and ^cc++++=and
practitioners ^nns+nom+++=practitioners
to ^to++++=to
continue ^vbi++++=continue
seeking ^vbg+++xvbg+=seeking
strategies ^nns+++??+=strategies
to ^to++++=to
increase ^vbi++++=increase
access ^nn++++=access
for ^in++++=for
underrepresented ^jj+atrb++xvbn+=underrepresented
minorities ^nns+nom+++=minorities
through ^in++++=through
language ^nn+nom+++=language
courses ^nns++++=courses.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Bazerman ^np+nom++??+=Bazerman
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009,
2009 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
Xiv ^np+++??+=XIV)
) ^zz++++=EXTRAWORD
note ^nn++++=note,
, ^zz++++=EXTRAWORD
advancing ^vbg+++xvbg+=advancing
communicative ^jj+atrb+++=communicative
competence ^nn+nom+++=competence
for ^in++++=for
all ^rb++++=all
and ^cc++++=and
providing ^jj+atrb++xvbg+=providing
access ^nn++++=access
to ^in++++=to
influential ^jj+atrb+++=influential
genres ^nns+++??+=genres
is ^vbz+bez+vrb++=is
fundamentally ^rb++++=fundamentally
an ^at++++=an
issue ^nn++++=issue
of ^in++++=of
social ^jj+atrb+++=social
capacity ^nn+nom+++=capacity
and ^cc++++=and
social ^jj+atrb+++=social
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
