Opportunism ^nn+nom+++=Opportunism
is ^vbz+bez+vrb++=is
a ^at++++=a
common ^jj+atrb+++=common
behavior ^nn++++=behavior
among ^in++++=among
bird ^nn++++=bird
species ^nn++++=species.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
caracaras ^nns+++??+=caracaras
( ^zz++++=(Falconidae)
falconidae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
utilize ^vb++++=utilize
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
resources ^nns++++=resources,
, ^zz++++=EXTRAWORD
including ^in++++=including
fruits ^nns++++=fruits,
, ^zz++++=EXTRAWORD
carcasses ^nns++++=carcasses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arthropods ^nns+++??+=arthropods.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
birds ^nns++++=birds
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
observed ^vpsv++agls+xvbnx+=observed
interacting ^jj++++=interacting
with ^in++++=with
a ^at++++=a
diverse ^jj+atrb+++=diverse
array ^nn++++=array
of ^in++++=of
mammals ^nns+nom+++=mammals,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
may ^md+pos+++=may
occupy ^vb++++=occupy
a ^at++++=a
central ^jj+atrb+++=central
position ^nn+nom+++=position
within ^in++++=within
community ^nn+nom+++=community
interaction ^nn+nom+++=interaction
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
Caracaras ^np+++??+=Caracaras
exhibit ^nn++++=exhibit
generalist ^nn+nom+++=generalist
tendencies ^nns++++=tendencies
not ^xnot++not++=not
only ^rb+down+++=only
in ^in++++=in
their ^pp$+pp3+++=their
diet ^nn++++=diet
but ^cc++++=but
also ^rb++++=also
in ^in++++=in
their ^pp$+pp3+++=their
interactions ^nns+nom+++=interactions
with ^in++++=with
various ^jj+atrb+++=various
host ^nn++++=host
species ^nn++++=species.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
caracaras ^nns+++??+=caracaras
represent ^vb++++=represent
an ^at++++=an
exception ^nn+nom+++=exception
to ^in++++=to
the ^ati++++=the
typical ^jj+atrb+++=typical
pattern ^nn++++=pattern
of ^in++++=of
opportunistic ^jj+atrb+++=opportunistic
behavior ^nn++++=behavior
in ^in++++=in
cleaning ^xvbg+++xvbg+=cleaning
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
as ^ql++++=as
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
significant ^jj+atrb+++=significant
correlation ^nn+nom+++=correlation
between ^in++++=between
their ^pp$+pp3+++=their
network ^nn++++=network
centrality ^nn+nom+++=centrality
and ^cc++++=and
dietary ^jj+atrb+++=dietary
diversity ^nn+nom+++=diversity.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
lack ^nn++++=lack
of ^in++++=of
correlation ^nn+nom+++=correlation
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
generalism ^nn+nom+++=generalism
and ^cc++++=and
specialism ^nn+nom+++=specialism
are ^vb+ber+vrb++=are
multidimensional ^jj+atrb+++=multidimensional
