Dennstaedtia ^np+++??+=Dennstaedtia,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
currently ^rb++++=currently
circumscribed ^xvbn+++xvbn+=circumscribed,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
polyphyletic ^jj+pred+++=polyphyletic
( ^zz++++=(Schwartsburd
schwartsburd ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020)
) ^zz++++=EXTRAWORD
and ^cc++++=and
comprises ^vbz++++=comprises
approximately ^rb+down+++=approximately
70 ^cd++++=70
species ^nn++++=species.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
six ^cd++++=six
species ^nn++++=species
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recorded ^vpsv++agls+xvbnx+=recorded
( ^zz++++=(Schwartsburd
schwartsburd ^nn+++??+=EXTRAWORD
& ^zz++++=&
Pena ^np+++??+=Pena
2020 ^cd++++=2020);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
field ^nn++++=field
observations ^nns+nom+++=observations
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
actual ^jj+atrb+++=actual
number ^nn++++=number
may ^md+pos+++=may
range ^vb++++=range
from ^in++++=from
eight ^cd++++=eight
to ^to++++=to
ten ^cd++++=ten
species ^nn++++=species.
. ^zz++++=EXTRAWORD
