A ^at++++=A
detailed ^jj+atrb+++=detailed
analysis ^nn++++=analysis
of ^in++++=of
authorship ^nn+nom+++=authorship
by ^in++++=by
Brazilian ^jj+atrb+++=Brazilian
researchers ^nns+nom+++=researchers
reveals ^nns+nom+++=reveals
a ^at++++=a
heterogeneous ^jj+atrb+++=heterogeneous
distribution ^nn+nom+++=distribution.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
articles ^nns++++=articles
are ^vb+ber+aux++=are
authored ^vpsv++by+xvbnx+=authored
by ^in++++=by
individuals ^nns+nom+++=individuals
from ^in++++=from
all ^rb++++=all
27 ^cd++++=27
Brazilian ^jj+atrb+++=Brazilian
states ^nns++++=states,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
pronounced ^jj+atrb++xvbn+=pronounced
concentration ^nn+nom+++=concentration
in ^in++++=in
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
states ^np++++=states.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
documents ^nns+nom+++=documents
with ^in++++=with
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
author ^nn++++=author
from ^in++++=from
Brazil ^np++++=Brazil
whose ^whp+rel+obj++=whose
geographic ^jj+atrb+++=geographic
state ^nn++++=state
is ^vbz+bez+aux++=is
identified ^vpsv++agls+xvbnx+=identified
( ^zz++++=(n=85,528),
n=85,528 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
85.7 ^cd++++=85.7%
% ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
five ^cd++++=five
states ^nns++++=states:
: ^zz++++=EXTRAWORD
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
( ^zz++++=(33.4%),
33.4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
( ^zz++++=(15.4%),
15.4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
( ^zz++++=(13.7%),
13.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Grande ^&fw++++=Grande
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(13.1%),
13.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Paran ^np+++??+=Paran
( ^zz++++=(10.1%).
10.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
states ^nns++++=states
are ^vb+ber+aux++=are
located ^vpsv++agls+xvbnx+=located
in ^in++++=in
the ^ati++++=the
southeast ^np++++=Southeast
and ^cc++++=and
south ^np+pl+++=South
regions ^nns++++=regions
of ^in++++=of
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
