During ^in++++=During
the ^ati++++=the
game ^nn++++=game,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
tempo ^nn++++=tempo
is ^vbz+bez+aux++=is
consistently ^rb++splt++=consistently
regulated ^vpsv++by+xvbnx+=regulated
by ^in++++=by
the ^ati++++=the
rhythm ^nn++++=rhythm
of ^in++++=of
the ^ati++++=the
music ^nn++++=music
performed ^vwbn+++xvbn+=performed
by ^in++++=by
the ^ati++++=the
orchestra ^nn++++=orchestra.
. ^zz++++=EXTRAWORD
Individuals ^nns+nom+++=Individuals
positioned ^vwbn+++xvbn+=positioned
at ^in++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
roda ^nn+++??+=roda
are ^vb+ber+vrb++=are
responsible ^jj+pred+++=responsible
for ^in++++=for
sustaining ^xvbg+++xvbg+=sustaining
the ^ati++++=the
overall ^jjb+atrb+++=overall
energy ^nn++++=energy
by ^in++++=by
singing ^xvbg+++xvbg+=singing
the ^ati++++=the
chorus ^nn++++=chorus
and ^cc++++=and
clapping ^vbg+++xvbg+=clapping
their ^pp$+pp3+++=their
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
observed ^jj+atrb++xvbn+=observed
session ^nn++++=session,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mestre ^&fw++++=mestre
reprimanded ^vbd+++xvbn+=reprimanded
those ^dt+dem+++=those
present ^nn++++=present
for ^in++++=for
insufficient ^jj+atrb+++=insufficient
enthusiasm ^nn++++=enthusiasm
in ^in++++=in
their ^pp$+pp3+++=their
singing ^nn++++=singing
and ^cc++++=and
clapping ^vbg+++xvbg+=clapping.
. ^zz++++=EXTRAWORD
