According ^in+cmpx+++=According
to ^in++++=to
Bicudo ^np+++??+=Bicudo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cosmarium ^np+++??+=Cosmarium
trilobulatum ^nn+++??+=trilobulatum
var ^nn+++??+=var.
. ^zz++++=EXTRAWORD
abscissum ^nn+++??+=abscissum
is ^vbz+bez+aux++=is
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
the ^ati++++=the
typical ^jj+atrb+++=typical
variety ^nn++++=variety
by ^in++++=by
its ^pp$+it+++=its
broader ^jjr+atrb+++=broader
lateral ^jj+atrb+++=lateral
lobes ^nns++++=lobes
and ^cc++++=and
a ^at++++=a
wider ^jjr+atrb+++=wider
apical ^jj+atrb+++=apical
lobe ^nn+++??+=lobe,
, ^zz++++=EXTRAWORD
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
correspond ^vb++++=correspond
to ^in++++=to
the ^ati++++=the
specimens ^nns++++=specimens
examined ^vwbn+++xvbn+=examined
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
this ^dt+dem+++=this
variety ^nn++++=variety
closely ^rb++++=closely
resembles ^vbz++++=resembles
Cosmarium ^np+++??+=Cosmarium
pseudoretusum ^nn+++??+=pseudoretusum
F ^zz++++=F.
. ^zz++++=EXTRAWORD
Ducellier ^np+nom++??+=Ducellier,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
differentiated ^vpsv++by+xvbn+=differentiated
by ^in++++=by
its ^pp$+it+++=its
less ^rbr++++=less
prominent ^jj+atrb+++=prominent
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
