Across mammals, primates—including humans—tend to exhibit the highest prevalence of
aggression, including lethal violence toward conspecifics ( Gómez et al.,
2016 ). Male primates generally use physical aggression more than
females ( Muller, 2002 ; Archer, 2009 ; Georgiev et
al., 2013 ), and this aggression can be directed toward
both other males ( Bernstein and Gordon, 1974 ; Eaton,
1984 ) and females ( Smuts and Smuts, 1993 ;
Slater et al., 2008 ; Muller and Wrangham, 2009 ;
Stumpf and Boesch, 2010 ). Male aggression toward females, including
sexual violence and coercion, is prevalent in both humans and
non-human primates ( Smuts, 1992 ; Sousa and Casanova, 2005
; Archer, 2009 ; Muller and Wrangham, 2009 ; Baniel
et al., 2017 ).
