At Bombrini, Benazzi et al. (2015 :795) concluded that “the
Proto-Aurignacian dispersal may therefore have been a cause (either directly
or indirectly) of the extinction of the Neanderthals, at least
in northern Italy.” This statement, however, does not consider important
observations of the lithostratigraphic character and composition of the relevant
transitional levels both at Bombrini and Mochi. It is well
established that there is a considerable decrease in Mousterian artifacts
in the upper spits of level IV at Bombrini and
a considerable reduction in the area used to source the
raw material found at the top of Unit I at
Mochi. In addition, Bombrini records a semisterile phase in Upper
level IV where only a few artifacts are present. In
contrast, Mochi records sterile sediment in Unit H, as defined
by Grimaldi et al. (2014) . This might be due
to worsening climatic conditions during the Neanderthal occupation at both
sites, suggesting their presence was patchy and limited before the
appearance of the first Proto-Aurignacian groups. We must, therefore, remain
cautious of reaching broad conclusions regarding the dynamics of the
Middle to Upper Paleolithic transition based on two neighboring sites.
Instead, we must examine the situation in other parts of
Italy.
