Plants terrestrial. Rhizomes short-creeping, bearing light brown, lanceolate scales. Leaves
40–75 cm long; stipes 25–40 cm long, entirely reddish-brown, quadrangular,
with light brown, acuminate scales and sparse two-celled glandular hairs
proximally; laminae 20–40 cm long, 2-pinnate; rachises winged, reddish-brown, with
sparse two-celled glandular hairs; basal pinnae 10–18 × 2–3 cm;
pinnules short-petiolulate, dimidiate, 1.2–1.5 cm long; costae with sparse two-celled
glandular hairs on both abaxial and adaxial surfaces; veins glabrous
on both surfaces; laminar tissue between veins with sparse two-celled
glandular hairs abaxially and glabrous adaxially; sori interrupted, located at
the tips of multiple veins; indusia membranaceous, with dentate, glabrous
margins.
