Throughout ^in++++=Throughout
the ^ati++++=the
decades ^nns++++=decades
of ^in++++=of
lcr ^nn+++??+=lcr
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong,
, ^zz++++=EXTRAWORD
corpus ^nn++++=corpus
size ^nn++++=size
has ^vbz+hvz+aux++=has
varied ^vprf+++xvbnx+=varied
to ^in++++=to
a ^at++++=a
large ^jj+atrb+++=large
extent ^nn++++=extent,
, ^zz++++=EXTRAWORD
ranging ^vbg+++xvbg+=ranging
from ^in++++=from
merely ^rb+down+++=merely
a ^at++++=a
thousand ^cd++++=thousand
words ^nns++++=words
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Fan ^nn++++=Fan
[ ^zz++++=[2009]
2009 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
) ^zz++++=)
to ^to++++=to
14.7 ^cd++++=14.7
million ^cd++++=million
words ^nns++++=words
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Li ^np+++??+=Li
and ^cc++++=and
Macgregor ^np++++=MacGregor
[ ^zz++++=[2010]).
2010] ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Contrary ^in+cmpx+++=Contrary
to ^in"++++=to
the ^ati++++=the
general ^jj+atrb+++=general
inclination ^nn++++=inclination,
, ^zz++++=EXTRAWORD
lcr ^nn+++??+=lcr
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
use ^nn++++=use
only ^rb+down+++=only
large ^jj++++=large-scale
- ^zz++++=EXTRAWORD
scale ^nn++++=EXTRAWORD
corpora ^nn+++??+=corpora.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
making ^vwbg+++xvbg+=making
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
Hong ^np++++=Hong
Kong ^np++++=Kong
Corpus ^nn++++=Corpus
of ^in++++=of
Spoken ^vprf+++xvbn+=Spoken
English ^jj++++=English
( ^zz++++=(
hkcse ^nn+++??+=hkcse
) ^zz++++=)
varied ^vbd+++xvbn+=varied
in ^in++++=in
corpus ^nn++++=corpus
size ^nn++++=size
from ^in++++=from
88,077 ^cd++++=88,077
words ^nns++++=words
( ^zz++++=(
Yeung ^np++++=Yeung,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=)
to ^to++++=to
920,000 ^cd++++=920,000
words ^nns++++=words
( ^zz++++=(
Cheng ^np++++=Cheng
and ^cc++++=and
Warren ^nn++++=Warren,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007
) ^zz++++=)
to ^to++++=to
2 ^zz++++=2
million ^cd++++=million
words ^nns++++=words
( ^zz++++=(
Seto ^np++++=Seto,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009
) ^zz++++=),
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
the ^ati++++=the
sub ^nn++++=sub-sections
- ^zz++++=EXTRAWORD
sections ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
corpus ^nn++++=corpus
they ^pp3a+pp3+++=they
used ^vbd+++xvbnx+=used
and ^cc++++=and
