Figure ^nn++++=Figure
6 ^zz++++=6
illustrates ^vbz+vpub+++=illustrates
that ^tht+vcmp+++=that
N ^zz++++=N-is
- ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=EXTRAWORD
focalizers ^nns+++??+=focalizers
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
occur ^vbi++++=occur
without ^in++++=without
a ^at++++=a
that ^dt+dem+++=that
complementizer ^nn+++??+=complementizer
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
separated ^vpsv++agls+xvbnx+=separated
off ^in+pl+++=off
by ^in++++=by
punctuation ^nn++++=punctuation
( ^zz++++=(node
node ^nn+++??+=EXTRAWORD
17 ^cd++++=17).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
is ^vbz+bez+aux++=is
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
from ^in++++=from
the ^ati++++=the
ctree ^nn+++??+=ctree
is ^vbz+bez+vrb++=is
the ^ati++++=the
detailed ^jj+atrb+++=detailed
interaction ^nn++++=interaction
of ^in++++=of
punctuation ^nn++++=punctuation
and ^cc++++=and
variety ^nn++++=variety
with ^in++++=with
syntactic ^jj+atrb+++=syntactic
integration ^nn++++=integration.
. ^zz++++=EXTRAWORD
A ^at++++=A
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
raw ^jj+atrb+++=raw
frequencies ^nns++++=frequencies
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
of ^in++++=of
the ^ati++++=the
few ^ap++++=few
focalizers ^nns+++??+=focalizers
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
both ^abx++++=both
separated ^vpsv++by+xvbn+=separated
by ^in++++=by
a ^at++++=a
punctuation ^nn++++=punctuation
mark ^nn++++=mark
and ^cc++++=and
followed ^vpsv++by+xvbn+=followed
by ^in++++=by
that ^dt+pdem+++=that
, ^zz++++=,
most ^ql+emph+++=most
are ^vb+ber+vrb++=are
from ^in++++=from
Ghana ^np++++=Ghana
( ^zz++++=(8
8 ^zz++++=EXTRAWORD
of ^in++++=of
16 ^cd++++=16),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
two ^cd++++=two
instances ^nns++++=instances
each ^dt++++=each
from ^in++++=from
Nigeria ^np++++=Nigeria
and ^cc++++=and
Kenya ^np++++=Kenya;
; ^zz++++=EXTRAWORD
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
four ^cd++++=four
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
India ^np++++=India,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Zealand ^np++++=Zealand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Philippines ^np+++??+=Philippines.
. ^zz++++=EXTRAWORD
In ^in++++=In
other ^ap++++=other
words ^nns++++=words,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
small ^jj+atrb+++=small
tendency ^nn++++=tendency
for ^in++++=for
the ^ati++++=the
African ^jj+atrb+++=African
Englishes ^np+++??+=Englishes
in ^in++++=in
the ^ati++++=the
dataset ^nn++++=dataset
to ^to++++=to
combine ^vbi++++=combine
punctuation ^nn++++=punctuation
with ^in++++=with
complementizer ^nn++++=complementizer
that ^tht+rel+++=that
. ^zz++++=.
