More ^rbr++++=More
importantly ^rb+cnj+++=importantly,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prevalence ^nn+++??+=prevalence
of ^in++++=of
essay ^nn++++=essay
and ^cc++++=and
letter ^nn++++=letter
genres ^nns+++??+=genres
in ^in++++=in
the ^ati++++=the
data ^nns++++=data
also ^rb++++=also
point ^nn++++=point
to ^in++++=to
the ^ati++++=the
type ^nn++++=type
of ^in++++=of
language ^nn++++=language
learner ^nn++++=learner
typical ^jj++++=typical
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
lcr ^nn+++??+=lcr
. ^zz++++=.
Among ^in++++=Among
the ^ati++++=the
lcr ^nn+++??+=lcr
studies ^nns++++=studies
we ^pp1a+pp1+++=we
investigated ^vbd+++xvbn+=investigated
in ^in++++=in
this ^dt+dem+++=this
review ^nn++++=review,
, ^zz++++=EXTRAWORD
fourteen ^cd++++=fourteen
used ^vbd+++xvbn+=used
learner ^nn++++=learner
corpora ^nn+++??+=corpora
comprising ^vwbg+++xvbg+=comprising
university ^npl++++=university
students ^nns++++=students
L2 ^np+++??+=L2
production ^nn++++=production,
, ^zz++++=EXTRAWORD
eight ^cd++++=eight
used ^vbd+++xvbn+=used
corpora ^nn+++??+=corpora
of ^in++++=of
business ^nn++++=business
setting ^vwbg+++xvbg+=setting
communications ^nns++++=communications,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
only ^rb+down+++=only
four ^cd++++=four
used ^vbd+++xvbn+=used
corpora ^nn+++??+=corpora
of ^in++++=of
senior ^jj+atrb+++=senior
secondary ^jj+atrb+++=secondary
students ^nns++++=students
L2 ^np+++??+=L2
production ^nn++++=production.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
university ^nn++++=university
students ^nns++++=students
and ^cc++++=and
adult ^jj+atrb+++=adult
professionals ^nns++++=professionals
have ^vb+hv+vrb++=have
an ^at++++=an
advanced ^jj+atrb++xvbn+=advanced
command ^nn++++=command
of ^in++++=of
the ^ati++++=the
English ^jj+atrb+++=English
language ^nn++++=language.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
The ^ati++++=The
Hong ^np++++=Hong
Kong ^np++++=Kong
Diploma ^nn++++=Diploma
of ^in++++=of
Secondary ^jj+atrb+++=Secondary
Education ^nn++++=Education
requires ^vbz++++=requires
undergraduates ^nns++++=undergraduates
to ^to++++=to
pass ^vbi++++=pass
the ^ati++++=the
English ^jj+atrb+++=English
test ^nn++++=test,
, ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
many ^ap++++=many
lcr ^nn+++??+=lcr
studies ^nns++++=studies
based ^vwbn+++xvbn+=based
on ^in++++=on
first ^rb++++=first
year ^nn++++=year
university ^nn++++=university
students ^nns++++=students
would ^md+prd+++=would
present ^vb++++=present
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
English ^jj+atrb+++=English
language ^nn++++=language
output ^nn++++=output,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
discipline ^nn++++=discipline
( ^zz++++=(
Bolton ^np++++=Bolton
et ^&fw++++=et
al ^&fw++++=al
. ^zz++++=.,
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
; ^zz++++=;
Flowerdew ^np+++??+=Flowerdew,
, ^zz++++=EXTRAWORD
2006 ^cd++++=2006
; ^zz++++=;
Crosthwaite ^np+++??+=Crosthwaite,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
Ma ^npt++++=Ma
and ^cc++++=and
Wang ^np+++??+=Wang,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
; ^zz++++=;
and ^cc+cls+++=and
Crosthwaite ^np+++??+=Crosthwaite
and ^cc++++=and
Jiang ^np+++??+=Jiang,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017
) ^zz++++=).
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
this ^dt+dem+++=this
primary ^jj+atrb+++=primary
target ^nn++++=target
group ^nn++++=group
of ^in++++=of
tertiary ^jj+atrb+++=tertiary
students ^nns++++=students
are ^vb+ber+vrb++=are
already ^rb++++=already
quite ^rb++++=quite
fluent ^jj++++=fluent
in ^in++++=in
English ^nn++++=English,
, ^zz++++=EXTRAWORD
lcr ^nn+++??+=lcr
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
is ^vbz+bez+vrb++=is
skewed ^nn+++??+=skewed
towards ^in++++=towards
intermediate ^jj++++=intermediate
to ^to++++=to
advanced ^vbi+vsua++xvbn+=advanced
learners ^nns++++=learners.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Crosthwaite ^np+++??+=Crosthwaite
( ^zz++++=(2016)
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Crosthwaite ^np+++??+=Crosthwaite
and ^cc++++=and
Jiang ^np+++??+=Jiang
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
pointed ^vbd+++xvbn+=pointed
out ^rp+pl+++=out
that ^cs+sub+++=that
the ^ati++++=the
students ^nns++++=students
involved ^vbd+++xvbn+=involved
usually ^rb+down+++=usually
have ^vb+hv+vrb++=have
a ^at++++=a
C1 ^np+++??+=C1
level ^nn++++=level
of ^in++++=of
proficiency ^nn++++=proficiency
in ^in++++=in
the ^ati++++=the
Common ^jj+atrb+++=Common
European ^jj+atrb+++=European
Framework ^nn++++=Framework
of ^in++++=of
Reference ^nn++++=Reference
for ^in++++=for
Languages ^nns++++=Languages
( ^zz++++=(
cefr ^nn+++??+=cefr
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
corpora ^nn+++??+=corpora
by ^in++++=by
Qian ^np+++??+=Qian
and ^cc++++=and
Pan ^nn++++=Pan
( ^zz++++=(2019)
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
El ^np++++=El-Dakhs
- ^zz++++=EXTRAWORD
dakhs ^nns+++??+=EXTRAWORD
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
intermediate ^jj+atrb+++=intermediate
learners ^nns++++=learners
whose ^whp+rel+obj++=whose
English ^jj+atrb+++=English
level ^nn++++=level
amounted ^vbd+++xvbn+=amounted
to ^in++++=to
B1 ^np+++??+=B1
or ^cc++++=or
B2 ^np+++??+=B2
in ^in++++=in
the ^ati++++=the
cefr ^nn+++??+=cefr
. ^zz++++=.
Yet ^rb++++=Yet
this ^dt+dem+++=this
phenomenon ^nn++++=phenomenon
in ^in++++=in
Hong ^np++++=Hong
Kong ^np++++=Kong
is ^vbz+bez+aux++=is
aligned ^vpsv++agls+xvbnx+=aligned
with ^in++++=with
the ^ati++++=the
practice ^nn++++=practice
of ^in++++=of
lcr ^nn+++??+=lcr
internationally ^rb++++=internationally
in ^in++++=in
targeting ^nn+++??+=targeting
intermediate ^jj++++=intermediate
to ^to++++=to
advanced ^vbi+vsua++xvbn+=advanced
level ^nn++++=level
learners ^nns++++=learners
( ^zz++++=(
Granger ^np++++=Granger,
, ^zz++++=EXTRAWORD
2004 ^cd++++=2004
) ^zz++++=)
while ^cs+sub+++=while
overlooking ^vbg+++xvbg+=overlooking
the ^ati++++=the
beginner ^nn++++=beginner
and ^cc++++=and
pre ^nn++++=pre-intermediate
