Scholarship ^nn++++=Scholarship
describing ^vwbg+++xvbg+=describing
these ^dt+dem+++=these
developments ^nns++++=developments
focuses ^vbz++++=focuses
on ^in++++=on
how ^wrb+who+++=how
biological ^jj+atrb+++=biological
matter ^nn++++=matter
comes ^vbz++++=comes
to ^to++++=to
take ^vbi++++=take
on ^rb+phrv+++=on
different ^jj+atrb+++=different
meanings ^nns++++=meanings
and ^cc++++=and
values ^nns++++=values
once ^cs+tm+++=once
it ^pp3+it+++=it
circulates ^vbz+++??+=circulates
economically ^rb++++=economically
and ^cc++++=and
becomes ^vbz++++=becomes
folded ^jj+++xvbn+=folded
into ^in++++=into
legal ^jj+atrb+++=legal
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
High ^jj++++=High-profile
- ^zz++++=EXTRAWORD
profile ^nn++++=EXTRAWORD
court ^nn++++=court
cases ^nns++++=cases
( ^zz++++=(often
often ^rb++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^np++++=States)
) ^zz++++=EXTRAWORD
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
reference ^nn++++=reference
point ^nn++++=point
to ^to++++=to
describe ^vbi++++=describe
biolegal ^nn+++??+=biolegal
dimensions ^nns++++=dimensions
of ^in++++=of
the ^ati++++=the
patentability ^nn+++??+=patentability
of ^in++++=of
the ^ati++++=the
natural ^jj+atrb+++=natural
world ^nn++++=world,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
commercialization ^nn+++??+=commercialization
of ^in++++=of
human ^jj+atrb+++=human
biological ^jj+atrb+++=biological
material ^nn++++=material
such ^abl++++=such
as ^ql++++=as
cell ^nn++++=cell
lines ^nns++++=lines
( ^zz++++=(
Hoeyer ^np++++=Hoeyer
2013 ^cd++++=2013
, ^zz++++=,
Waldby ^np+++??+=Waldby
& ^zz++++=&
Mitchell ^np++++=Mitchell
2006 ^cd++++=2006
) ^zz++++=)
and ^cc++++=and
property ^nn++++=property
rights ^nns++++=rights
over ^in++++=over
human ^jj+atrb+++=human
genes ^nns++++=genes
( ^zz++++=(
Jackson ^np++++=Jackson
2015 ^cd++++=2015
, ^zz++++=,
Sherkow ^np+++??+=Sherkow
& ^zz++++=&
Greely ^np+++??+=Greely
2015 ^cd++++=2015
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
2013 ^cd++++=2013
Association ^nn++++=Association
for ^in++++=for
Molecular ^jj+atrb+++=Molecular
Pathology ^np+++??+=Pathology
v ^zz++++=v.
. ^zz++++=EXTRAWORD
Myriad ^np+++??+=Myriad
Genetics ^np+++??+=Genetics
case ^nn++++=case
hereafter ^rb++++=hereafter
the ^ati++++=the
Myriad ^np+++??+=Myriad
case ^nn++++=case
is ^vbz+bez+vrb++=is
illustrative ^jj+pred+++=illustrative
and ^cc+phrs+++=and
involved ^jj+++xvbn+=involved
a ^at++++=a
Us ^pp1o+pp1+++=US
Supreme ^jj+atrb+++=Supreme
Court ^nn++++=Court
case ^nn++++=case
that ^tht+rel+subj++=that
challenged ^vprf+++xvbn+=challenged
the ^ati++++=the
validity ^nn++++=validity
of ^in++++=of
gene ^np++++=gene
patents ^nns++++=patents.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
concerned ^vbd+++xvbn+=concerned
patents ^nns++++=patents
that ^tht+rel+obj++=that
Myriad ^np+++??+=Myriad
Genetics ^np+++??+=Genetics
owned ^vbd+++xvbn+=owned
regarding ^in++++=regarding
isolated ^xvbn+++xvbn+=isolated
gene ^np++++=gene
sequences ^nns++++=sequences
that ^tht+rel+subj++=that
are ^vb+ber+aux++=are
used ^vpsv++++=used
to ^to++++=to
diagnose ^vb++++=diagnose
a ^at++++=a
propensity ^nn++++=propensity
to ^in++++=to
breast ^nn++++=breast
cancer ^nn++++=cancer.
. ^zz++++=EXTRAWORD
Legally ^rb+cnj+++=Legally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
case ^nn++++=case
revolved ^vbd+++xvbn+=revolved
around ^in++++=around
the ^ati++++=the
question ^nn++++=question
of ^in++++=of
whether ^cs+who+++=whether
human ^jj+atrb+++=human
genes ^nns++++=genes
were ^vbd+bed+vrb++=were
a ^at++++=a
part ^nn++++=part
of ^in++++=of
nature ^nn++++=nature
and ^cc+cls+++=and
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
therefore ^rb+cnj+++=therefore
patentable ^nn+++??+=patentable.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
at ^in++++=at
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
the ^ati++++=the
debate ^nn++++=debate
were ^vbd+bed+vrb++=were
questions ^nns++++=questions
of ^in++++=of
access ^nn++++=access
and ^cc++++=and
equality ^nn++++=equality.
