Many ^ap++++=Many
thanks ^rb+dspt+++=thanks
go ^vb++++=go
to ^in++++=to
an ^at++++=an
anonymous ^jj+atrb+++=anonymous
reviewer ^nn+nom+++=reviewer
who ^whp+rel+subj++=who
provided ^vbd+vsua++xvbn+=provided
many ^ap++++=many
helpful ^jj+atrb+++=helpful
suggestions ^nns+nom+++=suggestions
for ^in++++=for
this ^dt+dem+++=this
article ^nn++++=article.
. ^zz++++=EXTRAWORD
All ^abn++++=All
errors ^nns++++=errors
are ^vb+ber+vrb++=are
my ^pp$+pp1+++=my
own ^ap++++=own.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
also ^rb++++=also
thank ^vb++++=thank
the ^ati++++=the
students ^nns++++=students
in ^in++++=in
my ^pp$+pp1+++=my
Anthropology ^np+++??+=Anthropology
of ^in++++=of
Cooking ^xvbg+++xvbg+=Cooking
and ^cc++++=and
Food ^nn++++=Food
Preparation ^nn+nom+++=Preparation
classes ^nns++++=classes
at ^in++++=at
Barrett ^np+++??+=Barrett,
, ^zz++++=EXTRAWORD
The ^ati++++=The
Honors ^np+++??+=Honors
College ^nn++++=College
for ^in++++=for
pushing ^xvbg+++xvbg+=pushing
me ^pp1o+pp1+++=me
to ^to++++=to
think ^vbi+vprv+++=think
differently ^rb++++=differently
about ^in++++=about
my ^pp$+pp1+++=my
own ^ap++++=own
research ^nn++++=research
interests ^nns++++=interests.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
many ^ap++++=many
stimulating ^jj+atrb++xvbg+=stimulating
conversations ^nns+nom+++=conversations
that ^tht+rel+subj++=that
informed ^vbd+vpub++xvbn+=informed
this ^dt+dem+++=this
review ^nn++++=review.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
additionally ^rb++++=additionally
thank ^vb++++=thank
my ^pp$+pp1+++=my
daughter ^nn+nom+++=daughter
who ^whp+rel+subj++=who
patiently ^rb++++=patiently
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
the ^ati++++=the
time ^nn++++=time
to ^to++++=to
write ^vbi++++=write
and ^cc++++=and
now ^rn+tm+++=now
learns ^vbz+vprv+++=learns
from ^in++++=from
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
kitchen ^nn++++=kitchen.
. ^zz++++=EXTRAWORD
