Secondly ^rb+cnj+++=Secondly,
a ^at++++=a
wide ^jj+atrb+++=wide
chronological ^jj+atrb+++=chronological
window ^nn++++=window
between ^in++++=between
137 ^cd++++=137
17 ^cd++++=17
ka ^nn+++??+=ka
and ^cc++++=and
99 ^cd++++=99
12 ^cd++++=12
ka ^nn+++??+=ka,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
thus ^rb+cnj+splt++=thus
take ^vb++++=take
place ^nn++++=place
between ^in++++=between
Mis ^npt++++=MIS
5e ^cd++++=5e
to ^to++++=to
5c ^cd++++=5c
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
109 ^cd++++=109
96 ^cd++++=96
ka ^nn+++??+=ka).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
its ^pp$+it+++=its
stratigraphic ^jj+atrb+++=stratigraphic
position ^nn+nom+++=position
above ^jjb++++=above
Su1 ^np+++??+=SU1
and ^cc++++=and
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
a ^at++++=a
clear ^jj+atrb+++=clear
sedimentary ^nn+nom+++=sedimentary
hiatus ^nn++++=hiatus
between ^in++++=between
Su1 ^np+++??+=SU1
and ^cc++++=and
Su2 ^np+++??+=SU2,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
Su2 ^np+++??+=SU2
also ^rb++++=also
relates ^nns+nom+++=relates
to ^in++++=to
Mis ^npt++++=MIS
5e ^cd++++=5e
or ^cc++++=or
to ^in++++=to
the ^ati++++=the
beginnings ^nns++++=beginnings
of ^in++++=of
Mis ^npt++++=MIS
5d ^cd++++=5d
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
123 ^cd++++=123
109 ^cd++++=109
ka ^nn+++??+=ka).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
any ^dti++++=any
case ^nn++++=case,
, ^zz++++=EXTRAWORD
Su1 ^np+++??+=SU1
and ^cc++++=and
Su2 ^np+++??+=SU2
concur ^vb++++=concur
in ^in++++=in
demonstrating ^vb+++xvbg+=demonstrating
that ^tht+vcmp+++=that
human ^jj+atrb+++=human
occupation ^nn+nom+++=occupation
linked ^vwbn+++xvbn+=linked
to ^in++++=to
Su1 ^np+++??+=SU1
took ^vbd+++xvbn+=took
place ^nn++++=place
during ^in++++=during
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
Mis ^npt++++=MIS
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
beginning ^nn++++=beginning
of ^in++++=of
the ^ati++++=the
upper ^jjb++++=Upper
pleistocene ^np++++=Pleistocene.
. ^zz++++=EXTRAWORD
