Many ^ap++++=Many
life ^nn++++=life
history ^nn++++=history
events ^nns++++=events
include ^vb++++=include
disruptions ^nns+nom+++=disruptions
to ^in++++=to
the ^ati++++=the
individual ^nn+nom+++=individual's
's ^vbz+bez+vrb++0=EXTRAWORD
social ^jj+atrb+++=social
environment ^nn+nom+++=environment,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
rejection ^nn+nom+++=rejection
by ^in++++=by
its ^pp$+it+++=its
mother ^nn++++=mother
during ^in++++=during
weaning ^jj++++=weaning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
reproductive ^jj+atrb+++=reproductive
behaviors ^nns++++=behaviors,
, ^zz++++=EXTRAWORD
changes ^nns++++=changes
in ^in++++=in
social ^jj+atrb+++=social
status ^nn++++=status
and ^cc++++=and
novel ^nn++++=novel
relationships ^nns+nom+++=relationships.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
situations ^nns+nom+++=situations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Hpa ^np+++??+=HPA
axis ^nn++++=axis
is ^vbz+bez+aux++=is
activated ^vpsv++agls+xvbnx+=activated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hormones ^nns++++=hormones
such ^abl++++=such
as ^ql++++=as
glucocorticoids ^nns+++??+=glucocorticoids
are ^vb+ber+aux++=are
released ^vpsv++agls+xvbnx+=released
into ^in++++=into
the ^ati++++=the
bloodstream ^nn++++=bloodstream,
, ^zz++++=EXTRAWORD
enabling ^vbg+nom++xvbg+=enabling
the ^ati++++=the
individual ^nn+nom+++=individual
to ^to++++=to
cope ^vbi++++=cope
( ^zz++++=(
Sapolsky ^np++++=Sapolsky,
, ^zz++++=EXTRAWORD
1987 ^cd+date+++=1987
, ^zz++++=,
2000 ^cd++++=2000
) ^zz++++=).
. ^zz++++=EXTRAWORD
Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
this ^dt+dem+++=this
physiological ^jj+atrb+++=physiological
disruption ^nn+nom+++=disruption
and ^cc++++=and
hormonal ^jj+atrb+++=hormonal
response ^nn++++=response,
, ^zz++++=EXTRAWORD
important ^jj+atrb+++=important
life ^nn++++=life
history ^nn++++=history
events ^nns++++=events
in ^in++++=in
primates ^nns+nom+++=primates
may ^md+pos+++=may
also ^rb++++=also
correlate ^nn+nom+++=correlate
with ^in++++=with
the ^ati++++=the
formation ^nn+nom+++=formation
of ^in++++=of
accentuated ^jj+atrb++xvbn+=accentuated
lines ^nns++++=lines
( ^zz++++=(
Dirks ^np++++=Dirks
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2002 ^cd++++=2002
, ^zz++++=,
2010 ^cd++++=2010
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
relationship ^nn+nom+++=relationship
is ^vbz+bez+aux++=is
well ^rb++++=well
established ^vbd+vprv++xvbn+=established
for ^in++++=for
one ^cd1++++=one
life ^nn++++=life
history ^nn++++=history
event ^nn++++=event:
: ^zz++++=EXTRAWORD
the ^ati++++=the
neonatal ^jj+atrb+++=neonatal
line ^nn++++=line
forms ^nns++++=forms
in ^in++++=in
teeth ^nns++++=teeth
at ^rb++++=at
birth ^nn++++=birth
( ^zz++++=(
Schour ^np++++=Schour,
, ^zz++++=EXTRAWORD
1936 ^cd+date+++=1936
; ^zz++++=;
Nor ^cc+cls+neg++=Nor
n ^zz++++=n,
, ^zz++++=EXTRAWORD
1984 ^cd+date+++=1984
; ^zz++++=;
Eli ^np+++??+=Eli
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1989 ^cd+date+++=1989
; ^zz++++=;
Zanolli ^np+++??+=Zanolli
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2011 ^cd++++=2011
; ^zz++++=;
Witzel ^np+++??+=Witzel,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014
; ^zz++++=;
kurek ^np++++=Kurek
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
