Like ^in++++=Like
the ^ati++++=the
young ^nn++++=young
of ^in++++=of
other ^ap++++=other
animals ^nns+nom+++=animals,
, ^zz++++=EXTRAWORD
human ^jj+atrb+++=human
infants ^nns+nom+++=infants
are ^vb+ber+vrb++=are
attractive ^jj+pred+++=attractive
and ^cc+phrs+++=and
appealing ^jj+++xvbg+=appealing
to ^in++++=to
their ^pp$+pp3+++=their
mothers ^nns+nom+++=mothers
and ^cc++++=and
to ^in++++=to
other ^ap++++=other
potential ^jj+atrb+++=potential
caretakers ^nns+nom+++=caretakers.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
1950s ^cd+date+++=1950s,
, ^zz++++=EXTRAWORD
Lorenz ^np+++??+=Lorenz
described ^vbd+++xvbn+=described
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
traits ^nns++++=traits
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called
Kindenschema ^np+++??+=Kindenschema
( ^zz++++=(or
or ^cc++++=EXTRAWORD
infant ^nn++++=infant
schema ^nn++++=schema)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
mammals ^nns+nom+++=mammals,
, ^zz++++=EXTRAWORD
contributed ^j+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
attraction ^nn+nom+++=attraction
of ^in++++=of
parents ^nns++++=parents
to ^in++++=to
infants ^nns+nom+++=infants
and ^cc++++=and
served ^vbd+++xvbn+=served
to ^to++++=to
stimulate ^nn+nom+++=stimulate
instinctual ^jj+atrb+++=instinctual
caregiver ^jjr+atrb+++=caregiver
behaviors ^nns++++=behaviors
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Glocker ^np+++??+=Glocker
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2009a ^cd++++=2009a
, ^zz++++=,
b ^zz++++=b
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
characteristics ^nns++++=characteristics
included ^vbd+++xvbn+=included
a ^at++++=a
relatively ^rb++++=relatively
large ^jj+atrb+++=large
head ^nn++++=head
and ^cc++++=and
eyes ^nns++++=eyes
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
pudgy ^nn+++??+=pudgy
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
attributes ^vbz++++=attributes
signal ^nn++++=signal
health ^nn++++=health
and ^cc++++=and
viability ^nn+nom+++=viability
and ^cc++++=and
are ^vb+ber+aux++=are
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
evolved ^vprf+++xvbnx+=evolved
to ^to++++=to
elicit ^vbi++++=elicit
caregiving ^jj+++xvbg+=caregiving
( ^zz++++=(
Hrdy ^np++++=Hrdy
1999 ^cd+date+++=1999
, ^zz++++=,
2009 ^cd++++=2009
, ^zz++++=,
2014 ^cd++++=2014
; ^zz++++=;
Konner ^np+++??+=Konner
2010 ^cd++++=2010
) ^zz++++=),
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
especially ^rb++++=especially
important ^jj+pred+++=important
in ^in++++=in
our ^pp$+pp1+++=our
species ^nn++++=species
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
contingent ^nn++++=contingent
nature ^nn++++=nature
of ^in++++=of
maternal ^jj+atrb+++=maternal
attention ^nn+nom+++=attention
and ^cc++++=and
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
heightened ^vwbn+++xvbn+=heightened
discrimination ^nn+nom+++=discrimination
to ^to++++=to
attend ^vbi++++=attend
more ^ql++++=more
to ^in++++=to
healthy ^jj+atrb+++=healthy
infants ^nns+nom+++=infants
( ^zz++++=(
Hrdy ^np++++=Hrdy
2016 ^cd++++=2016
) ^zz++++=).
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
features ^nns++++=features
also ^rb++++=also
include ^vb++++=include
fat ^nn++++=fat
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
make ^vb++++=make
