More ^rbr++++=More
recently ^rb+cnj+++=recently,
, ^zz++++=EXTRAWORD
scholars ^nns++++=scholars
studying ^vwbg+++xvbg+=studying
Indigenous ^jj+atrb+++=Indigenous
identity ^nn++++=identity
formation ^nn++++=formation
in ^in++++=in
settler ^nn++++=settler-colonial
- ^zz++++=EXTRAWORD
colonial ^jj+atrb+++=EXTRAWORD
contexts ^nns++++=contexts
have ^vb+hv+vrb++=have
broadened ^nn+++??+=broadened
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
ethnogenesis ^nns+++??+=ethnogenesis
to ^to++++=to
emphasize ^vbi++++=emphasize
cultural ^jj+atrb+++=cultural
persistence ^nn++++=persistence
and ^cc++++=and
continuity ^nn++++=continuity
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Voss ^np+++??+=Voss
2015c ^cd++++=2015c
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
number ^nn++++=number
of ^in++++=of
African ^jj+atrb+++=African
diaspora ^nn++++=diaspora
archaeologists ^nns++++=archaeologists
have ^vb+hv+aux++=have
turned ^vprf+++xvbnx+=turned
away ^rb+phrv+++=away
from ^in++++=from
diaspora ^nn++++=diaspora
and ^cc++++=and
toward ^in++++=toward
race ^nn++++=race
and ^cc++++=and
investigations ^nns++++=investigations
of ^in++++=of
racial ^jj+atrb+++=racial
hegemony ^nn++++=hegemony
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Agbe ^np+++??+=Agbe-Davies
- ^zz++++=EXTRAWORD
davies ^np++++=EXTRAWORD
2014 ^cd++++=2014
, ^zz++++=,
Barile ^np+++??+=Barile
2004 ^cd++++=2004
, ^zz++++=,
Epperson ^np+++??+=Epperson
2004 ^cd++++=2004
, ^zz++++=,
Mullins ^np+++??+=Mullins
1999 ^cd+date+++=1999
, ^zz++++=,
Orser ^np+++??+=Orser
2001 ^cd++++=2001
) ^zz++++=).
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
critical ^jj+atrb+++=critical
examinations ^nns++++=examinations
of ^in++++=of
racial ^jj+atrb+++=racial
discourse ^nn++++=discourse
within ^in++++=within
the ^ati++++=the
African ^jj+atrb+++=African
diaspora ^nn++++=diaspora
literature ^nn++++=literature
have ^vb+hv+aux++=have
facilitated ^vprf+++xvbnx+=facilitated
the ^ati++++=the
formation ^nn++++=formation
of ^in++++=of
antiracist ^nn+++??+=antiracist
heritage ^nn++++=heritage
practices ^nns++++=practices,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
equally ^rb++++=equally
applicable ^jj+pred+++=applicable
to ^in++++=to
indigenous ^jj+atrb+++=Indigenous
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
