Most ^ql+emph+++=Most
anthropologists ^nns++++=anthropologists
analyzing ^jj+atrb++??+=analyzing
various ^jj+atrb+++=various
aspects ^nns++++=aspects
of ^in++++=of
carcerality ^nn+++??+=carcerality
today ^nr+tm+++=today
subscribe ^vb++++=subscribe
to ^in++++=to
an ^at++++=an
elemental ^jj+atrb+++=elemental
premise ^nn++++=premise
about ^in++++=about
its ^pp$+it+++=its
emergence ^nn++++=emergence
and ^cc++++=and
purpose ^nn++++=purpose:
: ^zz++++=EXTRAWORD
the ^ati++++=the
codependence ^nn+++??+=codependence
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
and ^cc++++=and
its ^pp$+it+++=its
political ^jj+atrb+++=political
economy ^nn++++=economy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pretense ^nn+++??+=pretense
of ^in++++=of
maintaining ^xvbg+++xvbg+=maintaining
social ^jj+atrb+++=social
peace ^nn++++=peace
through ^in++++=through
carceral ^nn+++??+=carceral
means ^nns++++=means,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
big ^jj+atrb+++=big
business ^nn++++=business
( ^zz++++=($80
$ ^zz++++=EXTRAWORD
80 ^cd++++=EXTRAWORD
billion ^cd++++=billion
a ^at++++=a
year ^nn++++=year)
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Us ^pp1o+pp1+++=US
punishment ^nn++++=punishment
industry ^nn++++=industry.
. ^zz++++=EXTRAWORD
Economic ^jj+atrb+++=Economic
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+pdem+++=those
brought ^vbd+++xvbn+=brought
about ^rb+phrv+++=about
by ^in++++=by
neoliberalism ^nn+++??+=neoliberalism's
's ^$++++=EXTRAWORD
deregulation ^nn+++??+=deregulation
of ^in++++=of
the ^ati++++=the
low ^jj++++=low-wage
- ^zz++++=EXTRAWORD
wage ^nn++++=EXTRAWORD
labor ^nn+++??+=labor
market ^nn++++=market
that ^tht+rel+subj++=that
moves ^vbz++++=moves
welfare ^nn++++=welfare
toward ^in++++=toward
workfare ^nn+++??+=workfare
and ^cc++++=and
prisonfare ^nn+++??+=prisonfare
( ^zz++++=(
Wacquant ^np++++=Wacquant
2009 ^cd++++=2009
; ^zz++++=;
see ^vb+vprv+++=see
also ^rb++++=also
Gilmore ^np+++??+=Gilmore
2007 ^cd++++=2007
, ^zz++++=,
Wacquant ^np+++??+=Wacquant
2010b ^cd++++=2010b
) ^zz++++=),
, ^zz++++=EXTRAWORD
increase ^nn++++=increase
the ^ati++++=the
precariousness ^nn++++=precariousness
of ^in++++=of
subaltern ^nn++++=subaltern
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
subject ^nn++++=subject
to ^in++++=to
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
dwindling ^jj+atrb+++=dwindling
social ^jj+atrb+++=social
and ^cc+phrs+++=and
economic ^jj+atrb+++=economic
safeguards ^nns++++=safeguards.
. ^zz++++=EXTRAWORD
A ^at++++=A
key ^jjb+atrb+++=key
way ^nn++++=way
that ^tht+rel+++=that
political ^jj+atrb+++=political
elites ^nns+++??+=elites
reaffirm ^vb++++=reaffirm
state ^nn++++=state
authority ^nn++++=authority
is ^vbz+bez+vrb++=is
through ^in++++=through
the ^ati++++=the
expansion ^nn++++=expansion
of ^in++++=of
police ^nns++++=police,
, ^zz++++=EXTRAWORD
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
incarceration ^nn+++??+=incarceration
among ^in++++=among
at ^in++++=at-risk,
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
restive ^jj+atrb+++=restive
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
a ^at++++=a
shift ^nn++++=shift
from ^in++++=from
the ^ati++++=the
social ^nn++++=social
to ^in++++=to
the ^ati++++=the
penal ^jj+atrb+++=penal
wing ^nn++++=wing
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
( ^zz++++=(
Wacquant ^np++++=Wacquant
2010b ^cd++++=2010b
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
201 ^cd++++=201).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
argument ^vb++++=argument
that ^tht+vcmp+obj++=that
Jim ^np++++=Jim
Crow ^nn++++=Crow
technologies ^nns+++??+=technologies
of ^in++++=of
population ^nn++++=population
control ^nn++++=control
have ^vb+hv+aux++=have
persevered ^vprf+++xvbnx+=persevered
( ^zz++++=(
Alexander ^np++++=Alexander
2010 ^cd++++=2010
) ^zz++++=),
, ^zz++++=EXTRAWORD
other ^ap++++=other
analysts ^nns+++??+=analysts
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
a ^at++++=a
new ^jj+atrb+++=new
era ^nn++++=era,
, ^zz++++=EXTRAWORD
beginning ^vbg+++xvbg+=beginning
in ^in++++=in
the ^ati++++=the
mid ^jjb++++=mid-twentieth
- ^zz++++=EXTRAWORD
twentieth ^od++++=EXTRAWORD
century ^nn++++=century
with ^in++++=with
the ^ati++++=the
long ^jj+atrb+++=long
War ^nn++++=War
on ^in++++=on
Crime ^nn++++=Crime
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
( ^zz++++=(
Hinton ^np++++=Hinton
2016 ^cd++++=2016
) ^zz++++=),
, ^zz++++=EXTRAWORD
as ^ql++++=as
well ^rb++++=well
as ^ql++++=as
recent ^jj++++=recent
shifts ^vbz++++=shifts
in ^in++++=in
policy ^nn++++=policy
development ^nn++++=development
( ^zz++++=(
Sojoyner ^np++++=Sojoyner
2016 ^cd++++=2016
) ^zz++++=),
, ^zz++++=EXTRAWORD
produced ^j+++xvbn+=produced
a ^at++++=a
penal ^jj+atrb+++=penal
populism ^nn+++??+=populism
( ^zz++++=(
Lacey ^np++++=Lacey
2010 ^cd++++=2010
, ^zz++++=,
p ^zz++++=p.
. ^zz++++=EXTRAWORD
102 ^cd++++=102)
) ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
pushed ^vbd+++xvbn+=pushed
for ^in++++=for
the ^ati++++=the
mass ^nn++++=mass
incarceration ^nn+++??+=incarceration
of ^in++++=of
entire ^jjb+atrb+++=entire
sectors ^nns++++=sectors
of ^in++++=of
the ^ati++++=the
population ^nn++++=population,
, ^zz++++=EXTRAWORD
notably ^rb++++=notably
those ^dt+dem+++=those
in ^in++++=in
