Through ^in++++=Through
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
anthropogenic ^jj++++=anthropogenic
ocher ^jjr++++=ocher
on ^in++++=on
the ^ati++++=the
ivory ^nn++++=ivory
personal ^jj+atrb+++=personal
ornaments ^nns+nom+++=ornaments,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
ocher ^jjr+atrb+++=ocher
pieces ^nns++++=pieces
from ^in++++=from
the ^ati++++=the
earliest ^jjt++++=earliest
Aurignacian ^np+++??+=Aurignacian
levels ^nns++++=levels
at ^in++++=at
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
infer ^vb++++=infer
that ^cs+sub+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
that ^tht+jcmp+++=that
these ^dt+dem+++=these
behaviors ^nns++++=behaviors
were ^vbd+bed+vrb++=were
in ^in++++=in
place ^nn++++=place
at ^in++++=at
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
arrival ^nn++++=arrival
of ^in++++=of
anatomically ^rb++++=anatomically
modern ^jj+atrb+++=modern
humans ^nns++++=humans
into ^in++++=into
the ^ati++++=the
region ^nn++++=region.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
research ^nn++++=research
on ^in++++=on
the ^ati++++=the
provenance ^nn+nom+++=provenance
of ^in++++=of
archaeological ^jj+atrb+++=archaeological
ochers ^nn++++=ochers
from ^in++++=from
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels,
, ^zz++++=EXTRAWORD
Gei ^np+++??+=Gei
enkl ^nn+++??+=enkl
sterle ^nn+++??+=sterle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Vogelherd ^np+++??+=Vogelherd
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
these ^dt+dem+++=these
caves ^nns++++=caves
shared ^vbd+++xvbn+=shared
access ^nn++++=access
to ^in++++=to
several ^ap++++=several
local ^jj++++=local
( ^zz++++=(ca.
ca ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
< ^zz++++=<40
40 ^cd++++=EXTRAWORD
km ^nnu++++=km)
) ^zz++++=EXTRAWORD
ocher ^jjr+atrb+++=ocher
outcrops ^nns++++=outcrops
or ^cc++++=or
were ^vbd+bed+aux++=were
sharing ^vbg+++xvbgx+=sharing
ocher ^jjr+atrb+++=ocher
materials ^nns+nom+++=materials
from ^in++++=from
these ^dt+dem+++=these
local ^jj+atrb+++=local
outcrops ^nns++++=outcrops
after ^in++++=after
collection ^nn+nom+++=collection
during ^in++++=during
the ^ati++++=the
Aurignacian ^np+++??+=Aurignacian
( ^zz++++=(
Velliky ^np++++=Velliky,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019
) ^zz++++=).
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
Hohle ^np+++??+=Hohle
Fels ^np+++??+=Fels
and ^cc++++=and
Vogelherd ^np+++??+=Vogelherd,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
have ^vb+hv+vrb++=have
evidence ^nn+nom+++=evidence
that ^tht+rel+obj++=that
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
these ^dt+dem+++=these
two ^cd++++=two
cave ^nn++++=cave
sites ^nns++++=sites
shared ^vbd+++xvbn+=shared
behavioral ^jj+atrb+++=behavioral
aspects ^nns++++=aspects
in ^in++++=in
ocher ^jjr+atrb+++=ocher
collection ^nn+nom+++=collection
and ^cc++++=and
use ^nn++++=use
and ^cc++++=and
bead ^nn++++=bead
production ^nn+nom+++=production,
, ^zz++++=EXTRAWORD
among ^in++++=among
other ^ap++++=other
symbolic ^jj+atrb+++=symbolic
artifacts ^nns+++??+=artifacts
( ^zz++++=(
dutkiewicz ^np++++=Dutkiewicz
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
) ^zz++++=).
. ^zz++++=EXTRAWORD
