On ^in++++=On
a ^at++++=a
rapidly ^rb++++=rapidly
changing ^jj+atrb++xvbg+=changing
planet ^nn++++=planet,
, ^zz++++=EXTRAWORD
humans ^nns++++=humans
are ^vb+ber+vrb++=are
active ^jj+atrb+++=active
biocultural ^nn+++??+=biocultural
agents ^nns++++=agents
defining ^vwbg+++xvbg+=defining
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
present ^vb++++=present,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
future ^jjb++++=future
of ^in++++=of
biodiversity ^nn+++??+=biodiversity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
procurement ^nn+++??+=procurement
and ^cc++++=and
transfer ^nn++++=transfer
of ^in++++=of
primates ^nns+++??+=primates
centuries ^nns++++=centuries
ago ^rb++++=ago
stand ^vb++++=stand
as ^ql++++=as
examples ^nns++++=examples
of ^in++++=of
how ^wrb+who+++=how
humans ^nns++++=humans
interacted ^nn+++??+=interacted
with ^in++++=with
this ^dt+dem+++=this
mammalian ^nn+++??+=mammalian
group ^nn++++=group
before ^in++++=before
the ^ati++++=the
rise ^nn++++=rise
of ^in++++=of
the ^ati++++=the
Anthropocene ^np+++??+=Anthropocene.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
only ^rb+down+++=only
were ^vbd+bed+vrb++=were
primates ^nns+++??+=primates
in ^in++++=in
direct ^jj+atrb+++=direct
contact ^nn++++=contact
with ^in++++=with
humans ^nns++++=humans,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
also ^rb++++=also
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
behaviorally ^vb+++??+=behaviorally
modulated ^vpsv++by+xvbn+=modulated
by ^in++++=by
humans ^nns++++=humans
during ^in++++=during
an ^at++++=an
archaeoprimatological ^nn+++??+=archaeoprimatological
timescale ^nn+++??+=timescale
that ^tht+rel+obj++=that
predates ^nns+++??+=predates
historical ^jj+atrb+++=historical
times ^nns++++=times.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
idea ^nn++++=idea
in ^in++++=in
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
archaeoprimatology ^nn+++??+=archaeoprimatology
is ^vbz+bez+vrb++=is
a ^at++++=a
fertile ^jj+atrb+++=fertile
field ^nn++++=field
of ^in++++=of
research ^nn++++=research
that ^tht+rel+obj++=that
addresses ^nns++++=addresses
fundamental ^jj+atrb+++=fundamental
questions ^nns++++=questions
regarding ^in++++=regarding
the ^ati++++=the
conservation ^nn++++=conservation
of ^in++++=of
primate ^nn++++=primate
populations ^nns++++=populations.
. ^zz++++=EXTRAWORD
