Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
on ^in++++=on
a ^at++++=a
larger ^jjr+atrb+++=larger
scale ^nn++++=scale,
, ^zz++++=EXTRAWORD
models ^nns++++=models
of ^in++++=of
early ^jj+atrb+++=early
H ^zz++++=H.
. ^zz++++=EXTRAWORD
sapiens ^nns+++??+=sapiens
dispersals ^nns+nom+++=dispersals
at ^in++++=at
ca ^np++++=ca.
. ^zz++++=EXTRAWORD
120 ^cd++++=120
ka ^nn+++??+=ka
out ^rp+pl+++=out
of ^in++++=of
Africa ^np++++=Africa
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
through ^in++++=through
Africa ^np++++=Africa
also ^rb++++=also
emphasize ^vb++++=emphasize
the ^ati++++=the
increasing ^jj+atrb++xvbg+=increasing
movement ^nn+nom+++=movement
dynamics ^nn++++=dynamics
at ^rb++++=at
work ^nn++++=work
during ^in++++=during
Mis ^npt++++=MIS
5 ^zz++++=5
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Groucutt ^np+++??+=Groucutt
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015
for ^in++++=for
synthesis ^nn++++=synthesis;
; ^zz++++=EXTRAWORD
Rabett ^np+++??+=Rabett,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018
; ^zz++++=;
Stewart ^np++++=Stewart
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
paleoenvironment ^nn+nom+++=paleoenvironment
results ^nns++++=results
on ^in++++=on
the ^ati++++=the
Ravin ^np+++??+=Ravin
Blanc ^np++++=Blanc
I ^pp1a+pp1+++=I
site ^nn++++=site
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
the ^ati++++=the
Fal ^np+++??+=Fal
m ^zz++++=m
Valley ^npl++++=Valley
in ^in++++=in
Senegal ^np+++??+=Senegal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probably ^rb++++=probably
more ^rbr++++=more
generally ^rb+down+++=generally
West ^np+pl+++=West
Africa ^np++++=Africa,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
affected ^vpsv++agls+xvbnx+=affected
similarly ^rb+cnj+++=similarly
by ^in++++=by
the ^ati++++=the
increased ^jj+atrb++xvbn+=increased
moisture ^nn++++=moisture
rate ^nn++++=rate
observed ^vbd+vprv++xvbn+=observed
on ^in++++=on
the ^ati++++=the
continental ^jj+atrb+++=continental
scale ^nn++++=scale
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Blome ^np+++??+=Blome
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012
; ^zz++++=;
Kutzbach ^np+++??+=Kutzbach
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020
) ^zz++++=).
. ^zz++++=EXTRAWORD
Population ^nn+nom+++=Population
adjustments ^nns+nom+++=adjustments
to ^to++++=to
changed ^vbi++++=changed
environments ^nns+nom+++=environments
by ^in++++=by
increased ^jj+atrb++xvbn+=increased
mobility ^nn+nom+++=mobility
at ^in++++=at
the ^ati++++=the
start ^nn++++=start
of ^in++++=of
Mis ^npt++++=MIS
5 ^zz++++=5
might ^md+pos+++=might
have ^vb+hv+aux++=have
accounted ^vprf+++xvbnx+=accounted
for ^in+ppvb+++=for
the ^ati++++=the
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
industry ^nn++++=industry
as ^cs+sub+++=as
expressed ^vbd+vpub++xvbn+=expressed
at ^rb++++=at
the ^ati++++=the
Ravin ^np+++??+=Ravin
Blanc ^np++++=Blanc
I ^pp1a+pp1+++=I
site ^nn++++=site.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
testing ^nvbg+++xvbg+=testing
this ^dt+dem+++=this
hypothesis ^nn++++=hypothesis
entails ^vbz++++=entails
envisioning ^nvbg+++xvbg+=envisioning
the ^ati++++=the
Stone ^nn++++=Stone
Age ^nn++++=Age
cultural ^jj+atrb+++=cultural
sequence ^nn+nom+++=sequence
at ^rb++++=at
work ^nn++++=work
in ^in++++=in
West ^np+pl+++=West
Africa ^np++++=Africa
on ^in++++=on
a ^at++++=a
broad ^jj+atrb+++=broad
chronological ^jj+atrb+++=chronological
scale ^nn++++=scale,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
leads ^nns++++=leads
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
second ^od++++=second
aspect ^nn++++=aspect
to ^to++++=to
consider ^nn+nom+++=consider
regarding ^in++++=regarding
the ^ati++++=the
behavioral ^nn++++=behavioral
changes ^vbz++++=changes
expected ^vpsv++agls+xvbn+=expected
during ^in++++=during
mis ^npt++++=MIS
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
