To identify the types of emojis used to support cognitive,
teaching, and social presences, frequency distributions were calculated for each
emoji type across all presences, with the results detailed in
Appendix A. The most frequently used emojis across cognitive, teaching,
and social presences were the Clapping Hands emoji (n =
287), Winking Face emoji (n = 251), Thumbs-Up emoji (n
= 139), Face With Tears of Joy emoji (n =
121), Smiling Face With Smiling Eyes emoji (n = 120),
Smiling Face emoji (n = 112), Smiling Face With Smiling
Eyes and Hearts emoji (n = 111), and Rolling On
The Floor Laughing emoji (n = 41). Frequencies for each
emoji type used by participants are provided in Appendix A.
