This study was conducted as part of the project "A
resposta da dinâmica sedimentar dos rios Xingu e Tapajós às
mudanças climáticas e barragens de usinas hidrelétricas: riscos para conservação
da biodiversidade e produção de energia na Amazônia," funded by
FAPESP (Fundação de Amparo à Pesquisa do Estado de São
Paulo, grant no. 2016/02656-9), and formed part of the Ph.D.
research of SBF and KSM, who were supported by CAPES
fellowships. DCB and CEMB acknowledge support from CNPq (Conselho Nacional
de Desenvolvimento Científico e Tecnológico) through Research Fellowships 310404/2016-9 and
305031/2016-3, respectively. The authors thank Dr. A.O. Sawakuchi, as well
as all technicians and researchers involved in sampling, material preparation,
and core chronology. The authors also thank Dr. Paulo E.
de Oliveira for his encouragement and support during the course
of this study.
