Table ^nn++++=Table
N.2 ^np+++??+=N.2
shows ^vbz+vprv+++=shows
that ^tht+vcmp+++=that
both ^abx++++=both
groups ^nns++++=groups
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
lack ^vbi++++=lack
proper ^jj+atrb+++=proper
reading ^jj+atrb++xvbg+=reading
skills ^nns++++=skills
such ^abl++++=such
as ^ql++++=as
using ^jj+++xvbg+=using
their ^pp$+pp3+++=their
own ^ap++++=own
words ^nns++++=words
to ^to++++=to
interpret ^vbi++++=interpret
content ^nn++++=content,
, ^zz++++=EXTRAWORD
adding ^vbg+vpub++xvbg+=adding
new ^jj+atrb+++=new
ideas ^nns++++=ideas
or ^cc++++=or
predicting ^vbg+++xvbg+=predicting
and ^cc+phrs+++=and
giving ^vbg+++xvbg+=giving
opinions ^nns++++=opinions
or ^cc++++=or
establishing ^jj+atrb++xvbg+=establishing
connections ^nns++++=connections
in ^in++++=in
the ^ati++++=the
information ^nn++++=information
presented ^vwbn+++xvbn+=presented.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
through ^in++++=through
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
results ^nns++++=results
existing ^vwbg+++xvbg+=existing
in ^in++++=in
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
questions ^nns++++=questions
specifically ^rb++++=specifically
formulated ^vbd+++xvbn+=formulated
to ^to++++=to
measure ^vbi++++=measure
those ^dt+dem+++=those
skills ^nns++++=skills
( ^zz++++=(control
control ^nn++++=EXTRAWORD
group ^nn++++=group
3,92 ^cd++++=3,92
points ^nns++++=points
and ^cc++++=and
4,22 ^cd++++=4,22
points ^nns++++=points
the ^ati++++=the
experimental ^jj+atrb+++=experimental
one ^cd1++++=one).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
that ^tht+vcmp+++=that
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
noticeable ^jj+atrb+++=noticeable
improvement ^nn++++=improvement
in ^in++++=in
the ^ati++++=the
experimental ^jj+atrb+++=experimental
group ^nn++++=group
that ^tht+rel+subj++=that
obtained ^vbd+++xvbn+=obtained
7,02 ^cd++++=7,02
out ^rp+pl+++=out
of ^in++++=of
10 ^cd++++=10
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-test,
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
means ^in++++=means
the ^ati++++=the
proposal ^nn++++=proposal
to ^to+ncmp+++=to
use ^vbi++++=use
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
to ^to++++=to
enhance ^vbi++++=enhance
reading ^nvbg+++xvbg+=reading
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective,
, ^zz++++=EXTRAWORD
agreeing ^vbg+vpub++xvbg+=agreeing
that ^tht+vcmp+++=that
graphic ^jj+atrb+++=graphic
organizers ^nns++++=organizers
are ^vb+ber+vrb++=are
useful ^jj+pred+++=useful
when ^wrb+who+++=when
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
information ^nn++++=information
( ^zz++++=(Graves
graves ^np++++=EXTRAWORD
& ^zz++++=&
graves ^np++++=Graves
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
