Figure ^nn++++=Figure
1 ^zz++++=1
shows ^nns++++=shows
several ^ap++++=several
approaches ^nns++++=approaches
to ^in++++=to
change ^nn++++=change
the ^ati++++=the
pressure ^nn++++=pressure
or ^cc++++=or
filtration ^nn++++=filtration
system ^nn++++=system
in ^in++++=in
the ^ati++++=the
Icu ^np+++??+=ICU
room ^nn++++=room
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
Standard ^nn++++=Standard
170 ^cd++++=170
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
Guidance ^nn++++=Guidance
for ^in++++=for
Hospital ^nn++++=Hospital
Isolation ^nn++++=Isolation
Rooms ^nns++++=Rooms
[ ^zz++++=[18]
18 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
advises ^vbz++++=advises
on ^in++++=on
Hvac ^np+++??+=HVAC
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
configurations ^nns++++=configurations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modifications ^nns++++=modifications
to ^to++++=to
handle ^vbi++++=handle
a ^at++++=a
potential ^nn++++=potential
surge ^vb++++=surge
in ^in++++=in
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
