Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
around ^rp++++=around
10%25 ^cd++++=10%25
of ^in++++=of
Ms ^nn++++=MS
patients ^nns++++=patients
present ^nn++++=present
with ^in++++=with
highly ^rb+amp+++=highly
active ^jj+atrb+++=active
disease ^nn++++=disease,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
drugs ^nns++++=drugs
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
adequate ^jj+pred+++=adequate
for ^in++++=for
them ^pp3o+pp3+++=them
as ^in++++=as
initial ^jj+atrb+++=initial
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
each ^dt++++=each
specific ^jj+atrb+++=specific
Dmd ^np+++??+=DMD
in ^in++++=in
risk ^nn++++=risk
and ^cc++++=and
severity ^nn++++=severity
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
infection ^nn++++=infection
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
established ^vpsv++agls+xvbnx+=established
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Patients ^nns++++=Patients
with ^in++++=with
high ^jj+atrb+++=high
disease ^nn++++=disease
burden ^nn++++=burden
may ^md+pos+++=may
require ^vb+vsua+++=require
high ^jj++++=high-efficacy
- ^zz++++=EXTRAWORD
efficacy ^nn++++=EXTRAWORD
treatments ^nns++++=treatments.
. ^zz++++=EXTRAWORD
In ^in++++=In
these ^dt+dem+++=these
situations ^nns++++=situations,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
the ^ati++++=the
Ectrims ^np+++??+=ECTRIMS/Multiple
Sclerosis ^np+++??+=Sclerosis
International ^jj+atrb+++=International
Federation ^nn++++=Federation
( ^zz++++=(MSIF),
msif ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
recommend ^vb+vsua+++=recommend
selecting ^vbg+++xvbg+=selecting
therapies ^nns+++??+=therapies
not ^xnot++not++=not
associated ^vbd+++xvbn+=associated
with ^in++++=with
lymphopenia ^nn+++??+=lymphopenia,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
natalizumab ^vb+++??+=natalizumab.
. ^zz++++=EXTRAWORD
Use ^nn++++=Use
of ^in++++=of
fingolimod ^nn+++??+=fingolimod,
, ^zz++++=EXTRAWORD
cladribine ^nn+++??+=cladribine,
, ^zz++++=EXTRAWORD
alemtuzumab ^nn+++??+=alemtuzumab,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anti ^nn+++??+=anti-CD20
- ^zz++++=EXTRAWORD
cd20 ^nn+++??+=EXTRAWORD
monoclonal ^nn+++??+=monoclonal
antibodies ^nns++++=antibodies
can ^md+pos+++=can
lead ^vb++++=lead
to ^in++++=to
lymphopenia28 ^nn+++??+=lymphopenia28.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
significant ^jj+atrb+++=significant
infection ^nn++++=infection
risk ^nn++++=risk
in ^in++++=in
real ^jj++++=real-world
- ^zz++++=EXTRAWORD
world ^nn++++=EXTRAWORD
data ^nns++++=data,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
propose ^vb++++=propose
an ^at++++=an
individualized ^nn+++??+=individualized
risk ^vb++++=risk/benefit
analysis ^nn++++=analysis
before ^in++++=before
prescribing ^xvbg+++xvbg+=prescribing
these ^dt+dem+++=these
drugs ^nns++++=drugs.
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
recent ^jj+atrb+++=recent
pharmacovigilance ^nn+++??+=pharmacovigilance
series ^nn++++=series,
, ^zz++++=EXTRAWORD
ocrelizumab ^nn+++??+=ocrelizumab
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
associated ^vbd+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
more ^rbr++++=more
severe ^jj+atrb+++=severe
course ^nn++++=course
of ^in++++=of
Covid1929 ^np+++??+=COVID1929.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
ocrelizumab ^nn+++??+=ocrelizumab
may ^md+pos+++=may
be ^vb+be+vrb++=be
a ^at++++=a
treatment ^nn++++=treatment
option ^nn++++=option
for ^in++++=for
patients ^nns++++=patients
with ^in++++=with
aggressive ^jj+atrb+++=aggressive
ms30 ^np++++=MS30.
. ^zz++++=EXTRAWORD
