To ^in++++=To
act ^nn++++=act
in ^in++++=in
this ^dt+dem+++=this
scenario ^nn++++=scenario,
, ^zz++++=EXTRAWORD
the ^ati++++=the
University ^nn++++=University
of ^in++++=of
Michigan ^np++++=Michigan
Health ^nn++++=Health
System ^nn++++=System,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
published ^j+++xvbn+=published
a ^at++++=a
complete ^jj+atrb+++=complete
study7 ^nn+++??+=study7
on ^in++++=on
the ^ati++++=the
creation ^nn++++=creation
of ^in++++=of
a ^at++++=a
temporary ^jj+atrb+++=temporary
committee ^nn++++=committee
of ^in++++=of
specialists ^nns++++=specialists
in ^in++++=in
Vte ^np+++??+=VTE,
, ^zz++++=EXTRAWORD
vascular ^nn+++??+=vascular
surgeons ^nns++++=surgeons
and ^cc++++=and
clinics ^nns++++=clinics,
, ^zz++++=EXTRAWORD
to ^in++++=to
review ^nn++++=review
management ^nn++++=management
protocols ^nns++++=protocols
already ^rb++++=already
established ^vbd+vprv++xvbn+=established
in ^in++++=in
the ^ati++++=the
institution ^nn++++=institution.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
committee ^nn++++=committee
would ^md+prd+++=would
consult ^vb++++=consult
with ^in++++=with
other ^ap++++=other
specialists ^nns++++=specialists
in ^in++++=in
areas ^nns++++=areas
such ^abl++++=such
as ^ql++++=as
pulmonology ^vb+++??+=pulmonology,
, ^zz++++=EXTRAWORD
hematology ^nn+++??+=hematology
and ^cc++++=and
medical ^jj+atrb+++=medical
clinic ^nn++++=clinic,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
a ^at++++=a
new ^jj+atrb+++=new
action ^nn++++=action
plan ^nn++++=plan
could ^md+pos+++=could
be ^vb+be+aux++=be
developed ^vpsv++agls+xvbnx+=developed
and ^cc+phrs+++=and
executed ^vpsv++agls+xvbn+=executed
to ^in++++=to
better ^nn++++=better
serve ^vb++++=serve
patients ^nns++++=patients
during ^in++++=during
the ^ati++++=the
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
decision ^nn++++=decision
on ^in++++=on
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
Vte ^np+++??+=VTE
prophylaxis ^nns+++??+=prophylaxis,
, ^zz++++=EXTRAWORD
patients ^nns++++=patients
underwent ^jj+atrb++??+=underwent
assessment ^nn++++=assessment
by ^in++++=by
the ^ati++++=the
Caprini ^np+++??+=Caprini
score8 ^nn+++??+=score8
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
hospital ^nn++++=hospital
admission ^nn++++=admission.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
not ^xnot++not++=not
enough ^qlp++++=enough
data ^nns++++=data
to ^to++++=to
determine ^vbi++++=determine
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
