Coronaviruses ^np+++??+=Coronaviruses
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
studied ^vpsv++by+xvbnx+=studied
by ^in++++=by
virologists ^nns+++??+=virologists
since ^in++++=since
the ^ati++++=the
mid ^jjb++++=mid
1960s ^cd+date+++=1960s.
. ^zz++++=EXTRAWORD
Environmental ^jj+atrb+++=Environmental
contamination ^nn++++=contamination,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
caused ^vpsv++by+xvbn+=caused
by ^in++++=by
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
patients ^nns++++=patients
through ^in++++=through
respiratory ^jj+atrb+++=respiratory
traps ^nns++++=traps,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
the ^ati++++=the
environment ^nn++++=environment
a ^at++++=a
potential ^jj+atrb+++=potential
means ^nns++++=means
of ^in++++=of
transmission ^nn++++=transmission,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
society ^nn++++=society
to ^to++++=to
adhere ^vbi++++=adhere
strictly ^rb++++=strictly
to ^in++++=to
environmental ^jj++++=environmental
and ^cc++++=and
hand ^nn++++=hand
hygiene ^nn++++=hygiene.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
health ^nn++++=health
professionals ^nns++++=professionals
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
high ^jj++++=high-risk
- ^zz++++=EXTRAWORD
risk ^vb++++=EXTRAWORD
group ^nn++++=group
for ^in++++=for
coronavirus ^np++++=Coronavirus
infection ^nn++++=infection
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
