The ^ati++++=The
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
linear ^jj+atrb+++=linear
regression ^nn++++=regression
for ^in++++=for
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
stratified ^jj++++=stratified
by ^in++++=by
Health ^nn++++=Health
Regions ^nns++++=Regions
and ^cc++++=and
seasons ^nns++++=seasons,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
presented ^vpsv++agls+xvbnx+=presented
in ^in++++=in
Table ^nn++++=Table
2 ^zz++++=2.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
stage ^nn++++=stage
of ^in++++=of
the ^ati++++=the
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
an ^at++++=an
investigation ^nn++++=investigation
on ^in++++=on
the ^ati++++=the
temporal ^jj+atrb+++=temporal
trend ^nn++++=trend
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
months ^nns++++=months
for ^in++++=for
two ^cd++++=two
seasons ^nns++++=seasons,
, ^zz++++=EXTRAWORD
October ^nr++++=October
to ^in++++=to
March ^nr++++=March
( ^zz++++=(higher
higher ^jjr+atrb+++=EXTRAWORD
rainfall ^nn++++=rainfall
levels ^nns++++=levels)
) ^zz++++=EXTRAWORD
and ^cc++++=and
April ^nr++++=April
to ^in++++=to
September ^nr++++=September
( ^zz++++=(lower
lower ^jjr+atrb+++=EXTRAWORD
rainfall ^nn++++=rainfall
levels ^nns++++=levels).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
observing ^xvbg+++xvbg+=observing
the ^ati++++=the
results ^nns++++=results
for ^in++++=for
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
rates ^nns++++=rates
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis
approach ^nn++++=approach
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
regions ^nns++++=regions
with ^in++++=with
greater ^jjr+atrb+++=greater
occurrence ^nn++++=occurrence
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
in ^in++++=in
the ^ati++++=the
period ^nn++++=period,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^in++++=as
to ^in++++=to
seasonal ^jj+atrb+++=seasonal
periods ^nns++++=periods
observed ^vbd+vprv++xvbn+=observed
individually ^rb+cnj+++=individually,
, ^zz++++=EXTRAWORD
both ^abx++++=both
those ^dt+dem+++=those
with ^in++++=with
higher ^jjr+atrb+++=higher
and ^cc+phrs+++=and
lower ^jjr+atrb+++=lower
rainfall ^nn++++=rainfall
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
Mpv ^np+++??+=MPV,
, ^zz++++=EXTRAWORD
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
presented ^vwbn+++xvbn+=presented
temporal ^jj+atrb+++=temporal
trend ^nn++++=trend
of ^in++++=of
monthly ^jj+atrb+++=monthly
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
rates ^nns++++=rates
of ^in++++=of
leptospirosis ^nns+++??+=leptospirosis,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
higher ^jjr+atrb+++=higher
rainfall ^nn++++=rainfall
rates ^nns++++=rates;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
decrease ^nn++++=decrease
in ^in++++=in
the ^ati++++=the
period ^nn++++=period
with ^in++++=with
lower ^jjr+atrb+++=lower
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
