Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
hospitalized ^nn+++??+=hospitalized
and ^cc++++=and
critically ^rb++++=critically
ill ^jj+atrb+++=ill
patients ^nns++++=patients
have ^vb+hv+vrb++=have
hematological ^nn+++??+=hematological
changes ^nns++++=changes
that ^tht+rel+subj++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
proven ^vpsv++agls+xvbnx+=proven,
, ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
by ^in++++=by
high ^jj+atrb+++=high
Dd ^np+++??+=DD
rates ^nns++++=rates.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
relationship ^nn++++=relationship
between ^in++++=between
the ^ati++++=the
Sars ^np+++??+=Sars-Cov-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
virus ^nn++++=virus
and ^cc++++=and
coagulation ^nn+++??+=coagulation
mechanisms ^nns++++=mechanisms
is ^vbz+bez+aux++=is
still ^rb++splt++=still
poorly ^rb++++=poorly
explored ^vbd+++xvbn+=explored
in ^in++++=in
recent ^jj+atrb+++=recent
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Han ^np++++=Han
et ^&fw++++=et
al.5 ^jj+++??+=al.5
demonstrated ^vb+++xvbn+=demonstrated
that ^tht+vcmp+++=that
antithrombin ^nn+++??+=antithrombin,
, ^zz++++=EXTRAWORD
a ^at++++=a
natural ^jj+atrb+++=natural
anticoagulant ^nn++++=anticoagulant,
, ^zz++++=EXTRAWORD
values ^nns++++=values
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
were ^vbd+bed+vrb++=were
lower ^jjr+pred+++=lower,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Dd ^np+++??+=DD
and ^cc++++=and
other ^ap++++=other
fibrin ^nn+++??+=fibrin
degradation ^nn++++=degradation
product ^nn++++=product
( ^zz++++=(FDP)
fdp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
higher ^jjr+pred+++=higher
when ^wrb+who+++=when
compared ^xvbn+++xvbn+=compared
with ^in++++=with
the ^ati++++=the
control ^nn++++=control,
, ^zz++++=EXTRAWORD
healthy ^jj+atrb+++=healthy
population ^nn++++=population.
. ^zz++++=EXTRAWORD
Blood ^nn++++=Blood
coagulation ^nn+++??+=coagulation
in ^in++++=in
these ^dt+dem+++=these
patients ^nns++++=patients
thus ^rb+cnj+++=thus
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
altered ^vpsv++agls+xvbnx+=altered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Fdp ^np+++??+=FDP,
, ^zz++++=EXTRAWORD
including ^in++++=including
Dd ^np+++??+=DD,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+vrb++=be
predictive ^nn+++??+=predictive
of ^in++++=of
disease ^nn++++=disease
progression ^nn++++=progression.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
routine ^jj++++=routine
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
such ^abl++++=such
markers ^nns++++=markers
is ^vbz+bez+vrb++=is
advisable ^jj+pred+++=advisable
in ^in++++=in
patients ^nns++++=patients
with ^in++++=with
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
result ^nn++++=result
being ^vwbg+beg++xvbg+=being
similar ^jj++++=similar
to ^in++++=to
those ^dt+dem+++=those
found ^vpsv++by+xvbn+=found
by ^in++++=by
Tang ^np+++??+=Tang,
, ^zz++++=EXTRAWORD
Li ^np+++??+=Li,
, ^zz++++=EXTRAWORD
Wang ^np+++??+=Wang
and ^cc++++=and
Sun6 ^np+++??+=Sun6.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
presumed ^jj+atrb++xvbn+=presumed
prothrombotic ^nn+++??+=prothrombotic
status ^nn++++=status
of ^in++++=of
many ^ap++++=many
patients ^nns++++=patients,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
drastic ^jj+atrb+++=drastic
increase ^nn++++=increase
in ^in++++=in
the ^ati++++=the
demand ^nn++++=demand
for ^in++++=for
laboratory ^nn++++=laboratory
tests ^nns++++=tests
to ^in++++=to
monitor ^nn++++=monitor
coagulation ^nn+++??+=coagulation
parameters ^nns++++=parameters,
, ^zz++++=EXTRAWORD
vascular ^nn+++??+=vascular
ultrasound ^nn+++??+=ultrasound
tests ^nns++++=tests
and ^cc++++=and
other ^ap++++=other
imaging ^nn+++??+=imaging
methods ^nns++++=methods
in ^in++++=in
patients ^nns++++=patients
positive ^jj++++=positive
for ^in++++=for
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
gather ^vbi+vprv+++=gather
information ^nn++++=information
about ^in++++=about
the ^ati++++=the
routine ^jj+atrb+++=routine
work ^nn++++=work
of ^in++++=of
vascular ^nn+++??+=vascular
specialists ^nns++++=specialists
and ^cc++++=and
reference ^nn++++=reference
centers ^nns+++??+=centers
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
