Both ^abx++++=Both
rapid ^jj++++=rapid
and ^cc++++=and
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
performed ^vwbn+++xvbn+=performed
for ^in++++=for
the ^ati++++=the
detection ^nn++++=detection
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
are ^vb+ber+vrb++=are
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
incidence ^nn++++=incidence
and ^cc++++=and
mortality ^nn++++=mortality
rates ^nns++++=rates
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Pearson ^np++++=Pearson
coefficients ^nns++++=coefficients
for ^in++++=for
correlation ^nn++++=correlation,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
municipal ^jj+atrb+++=municipal
level ^nn++++=level,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were:
: ^zz++++=EXTRAWORD
+ ^zz++++=+0.39,
0.39 ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
rapid ^jj+atrb+++=rapid
tests ^nns++++=tests
and ^cc++++=and
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
+ ^zz++++=+0.21
0.21 ^nn+++??+=EXTRAWORD
between ^in++++=between
the ^ati++++=the
Rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn+++??+=EXTRAWORD
tests ^nns++++=tests
and ^cc++++=and
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
to ^in++++=to
the ^ati++++=the
mortality ^nn++++=mortality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
coefficients ^nns++++=coefficients
were ^vbd+bed+vrb++=were
0 ^zz++++=0
and ^cc++++=and
+ ^zz++++=+0.12
0.12 ^nn+++??+=EXTRAWORD
for ^in++++=for
rapid ^jj++++=rapid
and ^cc++++=and
rt ^npt++++=RT-PCR
- ^zz++++=EXTRAWORD
pcr ^nn++++=EXTRAWORD
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
