Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
population ^nn++++=population
size ^nn++++=size,
, ^zz++++=EXTRAWORD
economic ^jj+atrb+++=economic
activity ^nn++++=activity
and ^cc++++=and
transport ^nn++++=transport
flow ^nn++++=flow
are ^vb+ber+vrb++=are
essential ^nn++++=essential
factors ^nns++++=factors
to ^to++++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
spread ^nn+++xvbn+=spread
of ^in++++=of
Sars ^np+++??+=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
throughout ^in++++=throughout
the ^ati++++=the
territory ^nn++++=territory
( ^zz++++=(12,
12 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
17 ^cd++++=17,
, ^zz++++=EXTRAWORD
18 ^cd++++=18).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
mortality ^nn++++=mortality
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
follows ^vbz+vprv+++=follows
a ^at++++=a
similar ^jj+atrb+++=similar
pattern ^nn++++=pattern
of ^in++++=of
territorial ^jj+atrb+++=territorial
distribution ^nn++++=distribution
in ^in++++=in
brazil ^np++++=Brazil
( ^zz++++=(19).
19 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
