This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
an ^at++++=an
epidemiological ^nn+++??+=epidemiological
study ^nn++++=study
that ^tht+rel+subj++=that
used ^vbd+++xvbn+=used
mathematical ^jj+atrb+++=mathematical
modeling ^nn+++??+=modeling
and ^cc++++=and
geoprocessing ^nn+++??+=geoprocessing
techniques ^nns++++=techniques.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spatial ^jj+atrb+++=spatial
units ^nns++++=units
of ^in++++=of
analysis ^nn++++=analysis
were ^vbd+bed+vrb++=were
all ^abn++++=all
twenty ^cd++++=twenty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
states ^nns++++=states
of ^in++++=of
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
a ^at++++=a
country ^nn++++=country
with ^in++++=with
continental ^jj+atrb+++=continental
dimensions ^nns++++=dimensions
and ^cc++++=and
a ^at++++=a
territorial ^jj+atrb+++=territorial
extension ^nn++++=extension
of ^in++++=of
8,514,876 ^cd++++=8,514,876
km2 ^nn+++??+=km2.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
area ^nn++++=area
corresponds ^vbz++++=corresponds
to ^to++++=to
about ^rp++++=about
1.6 ^cd++++=1.6%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
entire ^jjb+atrb+++=entire
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
planet ^nn++++=planet
and ^cc++++=and
occupies ^vbz++++=occupies
20.8 ^cd++++=20.8%
% ^zz++++=EXTRAWORD
and ^cc++++=and
48 ^cd++++=48%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
area ^nn++++=area
of ^in++++=of
all ^rb++++=all
of ^in++++=of
america ^np++++=America
and ^cc++++=and
south ^np+pl+++=South
america ^np++++=America,
, ^zz++++=EXTRAWORD
respectively.11 ^nn++++=respectively.11
