The ^ati++++=The
new ^jj+atrb+++=new
managerial ^jj+atrb+++=managerial
and ^cc+phrs+++=and
administrative ^jj+atrb+++=administrative
organization ^nn++++=organization
of ^in++++=of
the ^ati++++=the
Health ^nn++++=Health
Policy ^nn++++=Policy
of ^in++++=of
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
was ^vbd+bedz+vrb++=was
structured ^nn+++??+=structured
in ^in++++=in
16 ^cd++++=16
Health ^nn++++=Health
Regions ^nns++++=Regions,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in++++=to
Resolution ^nn++++=Resolution
No ^rb++++=No.
. ^zz++++=EXTRAWORD
348 ^cd++++=348
of ^in++++=of
August ^nr++++=August
30th ^cd++++=30th,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012,
, ^zz++++=EXTRAWORD
as ^in++++=as
depicted ^nn++++=depicted
on ^in++++=on
a ^at++++=a
representative ^jj+atrb+++=representative
map ^nn++++=map
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
following ^jj+atrb+++=following
composition14 ^nn++++=composition14:
: ^zz++++=EXTRAWORD
